題目,正確答案
The curtain has been ___ (draw) closed.,drawn
He has ___ (fly) around the world.,flown
The seeds have ___ (grow) into saplings.,grown
This fact is widely ___ (know).,known
The spear was ___ (throw) far.,thrown
The troops have been ___ (withdraw) from the area.,withdrawn
The vase is completely ___ (break).,broken
The winner has been ___ (choose).,chosen
Have you ___ (eat) all your vegetables?,eaten
The temperature has ___ (fall) rapidly.,fallen
The award was ___ (give) to the best student.,given
The sea level has ___ (rise).,risen
I have never ___ (see) a whale before.,seen
The foundations have been ___ (shake).,shaken
He has ___ (speak) on this topic before.,spoken
The jewels were ___ (steal) from the museum.,stolen
I was ___ (bite) by mosquitoes.,bitten
We have ___ (drive) this route many times.,driven
The money was ___ (hide) in a vault.,hidden
She has ___ (ride) that roller coaster before.,ridden
The photograph was ___ (take) professionally.,taken
The pipes have ___ (freeze) due to the cold.,frozen
He has ___ (be) here all day.,been
They have ___ (be) working hard.,been
The work is completely ___ (do).,done
He has ___ (go) home already.,gone
The dress was ___ (sew) by hand.,sewn
The movie was ___ (show) at the festival.,shown
The documents have ___ (lie) on the desk for days.,lain
She has ___ (lie) to protect her friend.,lied
The opponent has been ___ (beat) fair and square.,beaten
Smoking is strictly ___ (forbid) here.,forbidden
Several complications have ___ (arise).,arisen
The abandoned house looked ___ (forsake).,forsaken
He has ___ (stride) this path many times.,stridden
They have ___ (strive) for success.,striven
The manager ___ (deal) with the complaint professionally.,dealt
The cat ___ (spring) onto the table.,sprang
He ___ (dive) into the pool from the high board.,dove
The carpenter ___ (saw) the board in half.,sawed
The workers ___ (hew) the stone with great skill.,hewed
She ___ (strew) rose petals along the aisle.,strewed
The river ___ (swell) after the heavy rain.,swelled
He ___ (mow) the lawn yesterday afternoon.,mowed
The scientist ___ (prove) his theory with clear evidence.,proved
The matter has been ___ (deal) with appropriately.,dealt
A new idea has ___ (spring) to mind.,sprung
She has ___ (dive) in this cave many times.,dived
The log has been ___ (saw) in half.,sawn
The statue was ___ (hew) from a single block of marble.,hewn
The floor was ___ (strew) with confetti.,strewn
Her ankle has ___ (swell) badly after the fall.,swollen
The grass has been freshly ___ (mow).,mown
