suffix,meaning,sample 1,sample 2,sample 3,sample 4,sample 5
-ency,"(N.) state, quality (狀態，性質)",frequency (頻率),urgency (緊急),tendency (傾向),agency (代理),fluency (流利)
-ent,(N.) person who does (者/人),student (學生),resident (居民),president (總統),agent (代理人),patient (病人)
-er,(N.) person who does (執行者/人),waiter (侍者),teacher (老師),speaker (演講者),writer (作家),baker (烘焙師)
-ern,(Adj.) direction (方向的),northern (北方的),southern (南方的),eastern (東方的),western (西方的),modern (現代的)
-ery,"(N.) place, behavior (地點，性質)",bakery (麵包店),fishery (漁場),bribery (賄賂),misery (痛苦),discovery (發現)
-escence,(N.) state of becoming (開始變成...),adolescence (青春期),fluorescence (螢光),convalescence (康復期),effervescence (冒泡/興奮),obsolescence (過時)
-ese,(Adj.) belonging to a place (地方的),Chinese (中國的),Japanese (日本的),Viennese (維也納的),Cantonese (廣東的),Legalese (法律術語)
-esque,(Adj.) in the style of (風格的),picturesque (如畫的),statuesque (如雕像),Grotesque (怪誕),Romanesque (羅馬式),Kafkaesque (卡夫卡式)
-ess,(N.) female (女性),actress (女演員),waitress (女服務生),princess (公主),lioness (母獅),hostess (女主人)
-est,(Adj.) most (最...),best (最好的),fastest (最快的),tallest (最高的),brightest (最亮的),largest (最大的)
-etic,(Adj.) relating to (相關的),athletic (運動的),poetic (詩的),eneryetic (精力充沛的),magnetic (磁性的),genetic (遺傳的)
-ette,"(N.) small, female (小，女性)",cassette (卡帶/小盒子),cigarette (香菸/小雪茄),kitchenette (小廚房),statuette (小雕像),brunette (深褐色頭髮的女子)
-ful,(Adj.) full of (充滿...的),useful (有用的),beautiful (美麗的),careful (小心的),joyful (喜悅的),peaceful (和平的)
-fy,(V.) to make (使化/造成),terrify (使恐懼),satisfy (使滿意),clarify (闡明),verify (驗證),identify (識別)
-gam,"(N.) marriage, union (婚姻，結合)",cryptogam (隱花植物),phanerogam (顯花植物),monogam (單一配偶體),siphonogam (管粉植物),zoogam (動物受精)
-gamy,"(N.) marriage, union (婚姻)",monogamy (一夫一妻),polygamy (多配偶制),exgamy (異族通婚),endogamy (同族通婚),bigamy (重婚)
-gon,(N.) figure with angles (角形),polygon (多邊形),hexagon (六邊形),pentagon (五邊形),octagon (八邊形),diagonal (對角線)
-gonic,"(Adj.) production, seed (產生的)",cosmogonic (宇宙進化的),sporogonic (孢子生成的),physiogonic (面相學的),embryogonic (胚胎發生的),phytogonic (植物起源的)
-hood,"(N.) condition, period (時期，身分)",childhood (童年),motherhood (母性),priesthood (牧師職),adulthood (成年),boyhood (少年時代)
-ial,(Adj.) relating to (關於...的),social (社會的),official (正式的),colonial (殖民的),tutorial (導師的),memorial (紀念的)
-ian,(Adj.) relating to (關於/人),Brazilian (巴西的),musician (音樂家),technician (技術員),civilian (平民),guardian (監護人)
-iasis,"(N.) disease, condition (疾病，過程)",psoriasis (牛皮癬),amebiasis (阿米巴病),giardiasis (賈第鞭毛蟲病),elephantiasis (象皮病),myiasis (蠅蛆病)
-iatric,(Adj.) medical healing (醫治的),pediatric (兒科的),geriatric (老年科的),psychiatric (精神科的),bariatric (減重的),podiatric (足科的)
-ible,(Adj.) can be done (可...的),responsible (負責的),visible (可見的),flexible (靈活的),edible (可食的),audible (可聽見的)
-ic,(Adj.) having nature of (具備特質),classic (經典的),acidic (酸性的),heroic (英雄的),magnetic (磁性的),atomic (原子的)
-ical,(Adj.) relating to (關於...的),magical (魔幻的),logical (邏輯的),typical (典型的),critical (關鍵的),physical (物理的)
-ify,(V.) to make (使化/造成),intensify (強化),simplify (簡化),classify (分類),modify (修改),notify (通知)
-ile,(Adj.) capable of (易於...),fragile (易碎的),mobile (可移動的),hostile (敵對的),fertile (肥沃的),infantile (幼兒的)
-ily,(Adv.) in a manner (地),happily (快樂地),easily (容易地),steadily (穩定地),heavily (沈重地),luckily (幸運地)
-ine,(Adj./N.) nature of (具有...性質),feminine (女性的),divine (神聖的),genuine (真誠的),margarine (乳酪),vaccine (疫苗)
-ion,"(N.) act, condition (行為，狀態)",union (聯盟),opinion (意見),action (行動),vision (遠見),nation (國家)
-ious,(Adj.) full of (充滿...的),curious (好奇的),precious (珍貴的),obvious (明顯的),devicious (邪惡的),glorious (光榮的)
-ise,"(V.) to make, to become (使化/成為)",modernise (現代化),finalise (完成),advertise (廣告),exercise (練習),surprise (驚訝)
-ish,"(Adj.) origin, nature (稍微/性質)",childish (幼稚的),foolish (愚蠢的),selfish (自私的),reddish (微紅的),British (英國的)
-ish,"(V.) to do, to make (做/使)",finish (完成),publish (出版),punish (懲罰),vanish (消失),cherish (珍惜)
-ism,"(N.) doctrine, belief (學說，主義)",optimism (樂觀),criticism (批評),capitalism (資本主義),tourism (觀光),racism (種族主義)
-ist,(N.) person who practices (專家/人),scientist (科學家),artist (藝術家),pianist (鋼琴家),dentist (牙醫),typist (打字員)
-ite,(N./Adj.) nature of (具有...特質),favorite (最愛的),polite (有禮貌的),opposite (相反的),definite (明確的),socialite (社交名媛)
-itis,(N.) inflammation (發炎),arthritis (關節炎),gastritis (胃炎),hepatitis (肝炎),bronshitis (支氣管炎),dermatitis (皮膚炎)
-ity,"(N.) quality, state (性質，狀態)",equality (平等),humidity (濕度),variety (多樣性),ability (能力),purity (純潔)
-ive,(Adj.) nature of (具傾向的),active (活躍的),creative (創造性的),sensitive (敏感的),expensive (昂貴的),massive (巨大的)
-ization,(N.) process of making (使...化的過程),modernization (現代化),globalization (全球化),organization (組織化),visualization (視覺化),socialization (社會化)
-ize,"(V.) to make, to become (使化/成為)",standardize (標準化),realize (實現),organize (組織),criticize (批評),memorize (記住)
-less,(Adj.) without (沒有...的),useless (無用的),fearless (無畏的),homeless (無家可歸),endless (無盡的),hopeless (無望的)
-let,(N.) small (小),booklet (小冊子),droplet (小滴),streamlet (小溪),piglet (小豬),eyelet (小孔)
-like,(Adj.) resembling (像...的),childlike (像孩子的),ladylike (淑女般的),lifelike (栩栩如生的),dreamlike (夢幻的),godlike (神一般的)
-ling,"(N.) small, young (小，幼)",duckling (小鴨),seedling (幼苗),gosling (小鵝),darling (親愛的/小可愛),hireling (受雇者/小人物)
-loger,(N.) one who studies (研究者),astrologer (占星家),chronologer (年代學者),mythologer (神話學者),philologer (語言學者),cosmologer (宇宙學者)
-logist,(N.) one who studies (專家),biologist (生物學家),psychologist (心理學家),zoologist (動物學家),geologist (地質學家),cardiologist (心臟病專家)
-logy,(N.) study of (學問，研究),biology (生物學),psychology (心理學),ecology (生態學),theology (神學),zoology (動物學)
-ly,(Adj.) having qualities of (具特質),annually (年度的),friendly (友好的),lovely (可愛的),lonely (孤獨的),daily (每日的)
-ly,(Adv.) in what manner (地),hardly (幾乎不),quickly (快速地),happily (快樂地),slowly (緩慢地),softly (溫柔地)
-ment,"(N.) action, result (行為，結果)",movement (運動),development (發展),payment (支付),judgment (審判),agreement (同意)
-ness,(N.) state of being (性質，狀態),darkness (黑暗),happiness (快樂),kindness (仁慈),fitness (健康),illness (疾病)
-oholic,(N.) addicted to (沉迷於...的人),alcoholic (酗酒者),chocoholic (巧克力狂),winoholic (嗜酒者),sugaroholic (甜食狂),sleepoholic (嗜睡者)
-oid,"(Adj./N.) like, resembling (像...的)",humanoid (類人的),asteroid (小行星),avoid (避免),thyroid (甲狀腺),android (機器人)
-ology,(N.) study of (學問),biology (生物學),zooology (動物學),psychology (心理學),technology (技術),terminology (術語)
-oma,(N.) tumor (腫瘤),sarcoma (肉瘤),carcinoma (癌),melanoma (黑色素瘤),lymphoma (淋巴瘤),hematoma (血腫)
-onym,"(N.) name, word (名字，詞)",synonym (同義詞),antonym (反義詞),pseudonym (假名),acronym (首字母縮寫),homonym (同音異義詞)
-opia,(N.) eye vision (視力),myopia (近視),hyperopia (遠視),diplopia (複視),biopia (雙眼視覺),presbyopia (老花眼)
-opsy,(N.) examination (檢查),biopsy (活檢),autopsy (驗屍),necropsy (動物屍檢),synopsy (概要/總覽),cyclopsy (獨眼)
-or,(N.) person who does (執行者/人),actor (演員),creator (創造者),governor (統治者),doctor (醫生),donor (捐贈者)
-ory,(Adj./N.) relating to (關於...的/場所),advisory (建議的),factory (工廠),memory (記憶),victory (勝利),dormitory (宿舍)
-osis,"(N.) condition, disease (狀態，疾病)",hypnosis (催眠),diagnosis (診斷),neurosis (神經官能症),osmosis (滲透),tuberculosis (肺結核)
-ostomy,(N.) surgical opening (造口術),colostomy (結腸造口術),gastrostomy (胃造口術),tracheostomy (氣管切開術),ileostomy (迴腸造口術),nephrostomy (腎造口術)
-otomy,(N.) surgical cutting (切開術),lobotomy (腦葉切斷術),tracheotomy (氣管切開術),anatomy (解剖/切開),phlebotomy (靜脈切開),craniotomy (開顱術)
-ous,(Adj.) full of (充滿...的),nervous (緊張的),famous (著名的),dangerous (危險的),joyous (愉快的),various (各種各樣的)
-pathy,"(N.) feeling, disease (情感，疾病)",sympathy (同情),empathy (共感),telepathy (心靈感應),neuropathy (神經病變),psychopathy (精神變態)
-plegia,(N.) paralysis (癱瘓),hemiplegia (偏癱),paraplegia (下半身癱瘓),quadriplegia (四肢癱瘓),cardioplegia (心肌停跳),gastroplegia (胃癱)
-plegic,(Adj./N.) suffering paralysis (癱瘓的),hemiplegic (偏癱的),paraplegic (下半身癱瘓的人),quadriplegic (四肢癱瘓的),cycloplegic (睫狀肌麻痺的),laryngoplegic (喉麻痺的)
-pnea,(N.) breathing (呼吸),apnea (呼吸暫停),dyspnea (呼吸困難),tachypnea (呼吸急促),orthopnea (端坐呼吸),hyperpnea (呼吸過度)
-proof,(Adj.) resistant to (防...的),waterproof (防水),fireproof (防火),soundproof (隔音),bulletproof (防彈),foolproof (簡單的)
-ry,"(N.) place, behavior (地點，性質)",entry (進入),bravery (勇氣),scenery (風景),jewelry (珠寶),pantry (食品儲藏室)
-ship,"(N.) position, skill (身分，關係)",friendship (友誼),leadership (領導力),internship (實習),hardship (苦難),ownership (所有權)
-sion,"(N.) action, state (行為，狀態)",expression (表達),discussion (討論),decision (決定),vision (願景),tension (緊張)
-some,(Adj.) characterized by (具傾向),handsome (英俊的),awesome (敬畏的),tiresome (厭倦的),lonesome (寂寞的),wholesome (健康的)
-sophic,(Adj.) relating to wisdom (智慧的),philosophic (哲學的),theosophic (神智學的),anthroposophic (人智學的),pansophic (全知的),gymnosophic (祼體哲學的)
-sophy,"(N.) wisdom, knowledge (智慧，知識)",philosophy (哲學),theosophy (神智學),anthroposophy (人智學),pansophy (全知),gymnosophy (祼體哲學)
-th,"(N.) state, quality (序數，狀態)",fourth (第四),depth (深度),warmth (溫暖),growth (成長),health (健康)
-tion,"(N.) action, state (行為，狀態)",emotion (情感),education (教育),production (生產),action (行動),station (站點)
-titude,"(N.) state, quality, condition (狀態，品質，程度)",attitude (態度/心態),gratitude (感激/感恩之情),magnitude (巨大/震級),solitude (獨處/孤獨狀態),altitude (高度/海拔)
-tome,(N.) cutting instrument (切割儀器/冊),microtome (切片機),osteotome (骨鑿),dermatome (取皮機),epitome (縮影/切面),tome (大部頭書)
-tomy,(N.) act of cutting (切割術),vasectomy (輸精管切除),laparotomy (剖腹術),anatomy (解剖),tracheotomy (氣管切開),dichotomy (二分法)
-trophy,"(N.) nourishment, growth (營養，發育)",atrophy (萎縮/無營養),hypertrophy (肥大/過度營養),dystrophy (營養不良),osmotrophy (滲透營養),holotrophy (全營養)
-tude,"(N.) state, condition (狀態)",attitude (態度),magnitude (震級/巨大),gratitude (感激),solitude (孤獨),multitude (大量)
-ty,"(N.) quality, state (性質，狀態)",loyalty (忠誠),safety (安全),beauty (美麗),novelty (新奇),cruelty (殘酷)
-ular,(Adj.) relating to (像...的/小),molecular (分子的),populular (受歡迎的),regular (規律的),circular (圓形的),muscular (肌肉的)
-uous,"(Adj.) full of, nature of (充滿...的)",continuous (連續的),virtuous (有德行的),conspicuous (顯眼的),ambiguous (含糊的),strenuous (費力的)
-ure,"(N.) state, process (行為，結果)",failure (失敗),pleasure (愉快),departure (離開),nature (自然),pressure (壓力)
-ward,(Adv.) direction (向...方),toward (朝向),backward (向後),upward (向上),downward (向下),inward (向內)
-ware,(N.) articles of a type (器皿，製品),software (軟體),hardware (硬體),glassware (玻璃製品),kitchenware (廚房用具),silverware (銀器)
-ways,"(Adv.) direction, manner (方向/方式)",sideways (向側邊),lengthways (縱向),crossways (交叉地),always (總是),edge-ways (側著地)
-wise,(Adv.) in relation to (方向/關於),clockwise (順時針),likewise (同樣地),otherwise (否則),lengthwise (縱向地),streetwise (適應都市的)
-xion,"(N.) state, process (狀態，過程)",complexion (氣色),flexion (彎曲),connexion (連接),annexion (合併),crucifixion (處死)
-y,(Adj.) characterized by (具備特徵),sunny (晴朗的),lucky (幸運的),healthy (健康的),rainy (多雨的),salty (鹹的)
