root,meaning,sample 1,sample 2,sample 3,sample 4,sample 5
botan,"plant, herb (植物，草本)",botany (植物學),botanist (植物學家),botanical (植物學的),botanize (採集植物),neobotanist (新植物學家)
brev,short (短),brevity (簡潔),abbreviate (縮寫),brief (簡短的),breviary (摘要),brevet (名譽晉升)
bront,thunder (雷),brontosaurus (雷龍),brontology (雷學),brontide (雷鳴聲),brontophobia (雷鳴恐懼),brontogram (雷鳴記錄)
cand,"white, glow (白，光，誠實)",candid (坦白的),candle (蠟燭),candidate (候選人),candor (坦率),incandescent (白熾的)
cap,"take, hold (拿，取)",capture (捕捉),capacity (容量),captivate (迷住),captable (股權結構表),captor (捕捉者)
capit,head (頭),capital (首都),captain (船長/隊長),capitulate (投降),decapitate (斬首),precipitate (促成/沉澱)
carbon,coal (碳),carbon (碳),carbonize (碳化),carbonate (碳酸鹽),carbonic (碳的),carboniferous (產碳的)
cardio,heart (心臟),cardiology (心臟學),cardiogram (心電圖),cardiovascular (心血管的),cardiograph (心記儀),cardioid (心臟線)
carn,meat (肉),carnival (嘉年華),carnivore (食肉動物),carnal (肉體的),carnation (康乃馨),incarnate (化身的)
caust,burn (燒),caustic (焦灼的),holocaust (大屠殺),causticity (腐蝕性),caustically (挖苦地),cautery (烙鐵)
ced,"go, yield (走，讓步)",recede (後退),precede (在...之前),accede (同意),concede (承認/讓步),intercede (調停)
ceed,"go, yield (走，讓步)",proceed (前進),exceed (超過),succeed (成功/繼承),ceeding (讓與),ceeded (已讓渡的)
cent,hundred (百),century (世紀),centimeter (公分),centipede (蜈蚣),centennial (百年紀念),centigrade (攝氏)
centr,center (中心),central (中央的),centric (中心的),eccentric (古怪的),concentric (同心的),centrifuge (離心機)
cept,"take, seize (拿，取)",accept (接受),except (除外),concept (概念),intercept (攔截),percept (感知)
ceraun,thunderbolt (雷霆),ceraunic (雷電的),ceraunics (雷電學),ceraunomancy (雷電占卜),ceraunograph (雷電儀),ceraunophone (雷聲收集器)
cerebr,brain (腦),cerebrum (大腦),cerebral (大腦的),cerebrate (思考),cerebrosity (腦力),cerebration (大腦活動)
cess,"go, yield (走，讓步)",process (過程),access (進入/管道),excess (過量),recess (休息/幽深處),success (成功)
chrom,color (顏色),chrome (鉻),chromosome (染色體),chromatic (彩色的),monochrome (單色),chromatography (層析法)
chron,time (時間),chronic (慢性的),chronology (年代學),chronometer (精密計時器),synchronize (同步),chronicle (編年史)
chthon,"earth, underworld (土地，地下)",chthonic (地下的),autochthonous (土生土長的),chthonian (地下神靈),allochthonous (外來的),chthonophagy (食土癖)
cide,kill (殺),suicide (自殺),homicide (殺人),pesticide (殺蟲劑),insecticide (殺蟲劑),genocide (種族滅絕)
cise,cut (切),precise (精確的),excise (切除/消費稅),incise (雕刻),concise (簡潔的),decisive (決定性的)
civ,citizen (公民),civil (公民的),civic (城市的),civilization (文明),civilian (平民),civility (禮貌)
claim,shout (喊叫),exclaim (驚叫),proclaim (宣布),acclaim (歡呼),reclaim (開墾/要求歸還),declaim (演講)
clam,shout (喊叫),clamor (喧嚷),proclamation (公告),exclamation (感嘆),acclamation (喝采),declamation (雄辯)
clar,clear (清楚),clarity (清晰),clarify (闡明),declare (宣布),clarion (號角聲),clarification (澄清)
clin,"lean, slope (傾斜)",decline (下降/拒絕),incline (傾向),recline (斜靠),clinic (診所),clinometer (測角儀)
clud,close (關閉),exclude (排除),include (包括),conclude (結論),preclude (排除),seclude (隔離)
clus,close (關閉),exclusive (獨家的),inclusive (包含的),conclusion (結論),recluse (隱士),seclusion (隱居)
cogn,know (知道),cognition (認知),recognize (認出),incognito (匿名),cognizant (認知的),precognition (預知)
corp,body (身體),corpse (屍體),corporation (公司),corporeal (肉體的),corpulent (肥胖的),corpus (文集/語料庫)
cosm,universe (宇宙),cosmos (宇宙),cosmic (宇宙的),cosmopolitan (世界性的),cosmology (宇宙學),microcosm (微觀世界)
crani,skull (顱骨),cranium (頭蓋骨),cranial (顱的),craniology (顱骨學),craniotomy (開顱術),craniometry (顱量學)
cred,believe (相信),credit (信用),credible (可信的),credential (憑據),incredulous (懷疑的),credo (信條)
crim,"fault, crime (罪行)",crime (罪行),criminal (罪犯),incriminate (控告),criminology (犯罪學),decriminalize (除罪化)
crypt,"secret, hide (秘密，隱藏)",cryptic (神秘的),cryptography (密碼學),cryptogram (密碼),encrypt (加密),cryptonym (化名)
culp,"blame, fault (罪錯)",culpable (該受譴責的),culprit (罪魁禍首),exculpate (證明無罪),inculpate (使負罪),mea culpa (我的錯)
cult,"till, care, worship (耕種，照料，崇拜)",culture (文化),cultivate (耕作/培養),agriculture (農業),cult (邪教/狂熱),multicultural (多樣文化的)
cycl,"circle, wheel (圓，輪)",cycle (週期),cyclone (氣旋),bicycle (腳踏車),cyclical (循環的),encyclopedia (百科全書)
dem,people (人民),democracy (民主),demographic (人口統計的),epidemic (流行病),pandemic (大流行),demagogue (煽動者)
dent,tooth (牙齒),dentist (牙醫),dental (牙科的),denture (假牙),indent (縮排),dentiform (齒狀的)
derm,skin (皮膚),dermatology (皮膚科學),epidermis (表皮),hypodermic (皮下的),pachyderm (厚皮動物),taxidermy (標本製作)
dict,say (說),dictate (口述/指令),dictionary (字典),predict (預測),contradict (矛盾/反駁),verdict (判決)
didact,teach (教導),didactic (教導的),didacticism (教條主義),didactics (教學法),autodidact (自學者),didactyl (二指的)
doc,teach (教導),doctor (博士/醫生),doctrine (教義),document (文件),docile (溫順的),docent (講師)
don,give (給予),donate (捐贈),donor (捐贈者),pardon (原諒),donation (捐款),donative (捐贈物)
dorm,sleep (睡眠),dormitory (宿舍),dormant (休眠的),dormancy (潛伏期),dormeuse (女式睡帽),dormin (誘導睡眠物質)
duc,lead (引導),educate (教育),reduce (減少),produce (生產),seduce (引誘),induce (歸納/誘導)
duct,lead (引導),conduct (行為/導電),product (產品),abduct (綁架),deduct (扣除),viaduct (高架橋)
dur,"hard, last (堅硬，持久)",durable (耐用的),duration (持續時間),endure (忍受),durability (耐用性),durance (監禁)
dyn,power (力量),dynamic (動態的),dynasty (王朝),dynamite (炸藥),dynamometer (功率計),dynamo (發電機)
eco,"house, environment (家，環境)",ecology (生態學),economy (經濟),ecosystem (生態系統),ecosphere (生態圈),ecofriendly (環保的)
ed,"bring up, educate (教育，提升)",educate (教育),educator (教育家),education (教育),co-education (男女合校),educative (教育性的)
ego,self (自我),egotism (自大),egocentric (自我中心的),egoism (利己主義),alterego (另一個自我),egomania (極端利己)
electr,"amber, electricity (電)",electron (電子),electric (電的),electrify (通電),electrode (電極),electrolyte (電解質)
equ,"equal, even (相等，平均)",equal (相等的),equation (方程式),equator (赤道),adequate (足夠的),equilibrium (平衡)
erg,work (工作),ergonomics (人體工學),energy (能量),synergy (協同作用),ergograph (測力計),ergophobia (工作恐懼)
err,"wander, mistake (漫遊，犯錯)",error (錯誤),erratic (不穩定的),aberration (偏差),erroneous (錯誤的),errand (差事)
esth,feel (感覺),esthetic (美學的),anesthesia (麻醉),kinesthetic (動覺的),esthete (審美家),esthesiology (感覺學)
fac,"make, do (做)",factory (工廠),facility (設施),facsimile (傳真),factor (因素),factual (事實的)
fact,"make, do (做)",manufacture (製造),fact (事實),factor (因素),artifact (手工藝品),benefactor (捐助者)
fal,deceive (欺騙),false (錯誤的),fallacy (謬誤),fallible (易犯錯的),falsify (偽造),fallacious (騙人的)
fect,"make, do (做)",perfect (完美的),effect (效果),affect (影響),infect (感染),defect (缺陷)
fer,"carry, bring (帶來，運送)",transfer (轉移),offer (提供),refer (參考),suffer (遭受),confer (協商/授予)
fict,"shape, pretend (虛構，塑形)",fiction (小說),fictitious (虛構的),effigy (雕像),fictile (可塑的),fictionalize (使小說化)
fin,"end, limit (結束，界限)",finish (完成),final (最終的),finite (有限的),infinite (無限的),define (定義)
flor,flower (花),floral (花的),florist (花商),florid (華麗的),floriculture (花卉栽培),efflorescence (開花期)
flu,flow (流動),fluid (液體),fluent (流利的),influence (影響),fluctuate (波動),affluent (富裕的)
flux,flow (流動),flux (流動/通量),reflux (逆流),influx (匯集),conflux (匯流),efflux (流出)
form,shape (形狀),form (形式),formal (正式的),reform (改革),uniform (制服/統一的),transform (轉變)
fort,strong (強壯),fort (堡壘),fortify (加強),fortitude (堅韌),fortress (要塞),comfort (舒適)
fract,break (打破),fracture (骨折),fraction (分數/部分),infraction (違規),refract (折射),diffract (繞射)
frag,break (打破),fragment (碎片),fragile (易碎的),fragility (脆弱),fragmentary (零碎的),suffrage (投票權)
fulgur,lightning (閃電),fulgurant (閃電般的),fulgurate (閃電式燒灼),fulgurous (閃電狀的),fulgurite (閃電石),fulguration (閃灼)
funct,perform (運作，功能),function (功能),functional (功能性的),defunct (過時的/死亡的),malfunction (故障),perfunctory (敷衍的)
gastru,stomach (胃),gastric (胃的),gastritis (胃炎),gastronomy (美食學),gastropods (腹足綱),gastroscopy (胃鏡檢查)
gen,"birth, race (出生，產生)",gene (基因),generate (產生),generation (世代),genetics (遺傳學),generous (慷慨的)
geo,"earth, ground (地球，土地)",geology (地質學),geography (地理),geometry (幾何學),geopolitics (地緣政治),geothermal (地熱的)
glyc,"sugar, sweet (糖，甜)",glycogen (肝糖),glycemia (血糖),glycose (葡萄糖),hypoglycemia (低血糖),glycerine (甘油)
grad,step (步，階),graduate (畢業),gradual (逐漸的),grade (等級),degrade (降級),upgrade (升級)
gram,"write, draw (寫，圖)",grammar (語法),diagram (圖表),telegram (電報),program (程式/計畫),epigram (警句)
graph,"write, draw (畫，寫)",graph (圖表),graphic (圖解的),biography (傳記),autograph (親筆簽名),photograph (照片)
grat,pleasing (感激，喜悅),gratitude (感激),grateful (感激的),congratulate (祝賀),gratify (使滿足),gratis (免費的)
grav,heavy (重，沉重),gravity (地心引力),grave (嚴重的),gravitate (受吸引),aggravate (惡化),gravitation (萬有引力)
greg,"flock, group (群，群集)",gregarious (社交的),congregate (集合),segregate (隔離),aggregate (合計),egregious (極壞的)
gress,"step, go (步，走)",progress (進步),aggressive (侵略性的),congress (國會),regress (退步),digress (離題)
gyn,woman (女人),gynecology (婦科學),gynephobia (恐女症),gynarchy (女性執政),polygyny (一夫多妻),gynoid (類女機器人)
gynec,woman (女人),gynecology (婦科學),gynecologist (婦科醫生),gynecocracy (婦女政權),gynecic (婦女的),gynecoid (女性狀的)
hab,"have, hold (有，持有)",habit (習慣),habitat (棲息地),exhibit (展示),inhabit (居住),prohibit (禁止)
habit,dwell (居住),habitat (棲息地),inhabit (居住),habitation (住所),inhabitant (居民),cohabit (同居)
hap,"chance, luck (機會，運氣)",happy (快樂的),happen (發生),haphazard (隨意的),hapless (不幸的),perhaps (也許)
hem,blood (血),hemoglobin (血紅素),hemorrhage (大出血),hemophilia (血友病),hematoma (血腫),hemostat (止血鉗)
herb,grass (草),herb (草藥),herbal (草藥的),herbivore (食草動物),herbarium (植物標本館),herbaceous (草本的)
hist,"tissue, story (組織，歷史)",histology (組織學),history (歷史),historic (歷史性的),histography (史學研究),histamine (組織胺)
horti,garden (花園),horticulture (園藝學),horticulturalist (園藝家),hortiyard (菜園),hortious (花園的),horticultural (園藝的)
hospit,"guest, host (客人，主人)",hospital (醫院),hospitality (好客),hospitable (親切的),hospitalize (住院),inhospitable (不友好的)
hum,"earth, soil (土地，土壤)",humus (腐殖質),exhume (掘出),inhume (埋葬),humble (卑微的),humiliation (羞辱)
hydr,water (水),hydrant (消防栓),hydrate (使含水),hydraulic (水壓的),hydrogen (氫),dehydrate (脫水)
hygr,moist (潮濕),hygrometer (濕度計),hygroscope (驗濕器),hygroscopic (吸濕的),hygrophilous (喜濕的),hygrograph (濕度記錄儀)
hypn,sleep (睡眠，催眠),hypnosis (催眠),hypnotic (催眠的),hypnotherapy (催眠療法),hypnoid (似睡眠的),hypnophobia (睡眠恐懼)
infra,below (下方),infrastructure (基礎建設),infrared (紅外線),infrasonic (次聲波),infrahuman (低於人類的),inframarginal (邊緣下的)
ject,	throw (投，擲),project (計畫/投射),reject (拒絕/排斥),inject (注射/投入),eject (彈出/驅逐),object (物體/反對)
jud,judge (判斷),judge (法官/判斷),judicial (司法的),judicious (明智的),prejudice (偏見),adjudicate (判決)
junct,join (結合),junction (交叉點),conjunction (連接詞),adjunct (附屬物),disjunct (分離的),juncture (關鍵時刻)
jur,"law, swear (法律，誓言)",jury (陪審團),jurisdiction (管轄權),jurist (法學家),perjury (偽證),conjure (懇求/召喚)
just,"law, right (正義，法律)",justice (正義),justify (證明正當),unjust (不公平的),adjust (調整),justiceable (可審判的)
juven,young (年少的),juvenile (青少年的),rejuvenate (使年輕),juvenescence (年輕),juvenility (幼稚),juvenal (少年)
kine,move (動),kinetic (動能的),kinema (電影),kinesiology (人體運動學),kinescope (顯像管),telekinesis (心靈感應移動)
lab,work (工作),labor (勞動),laboratory (實驗室),elaborate (詳盡的),collaborate (合作),laborious (艱苦的)
lact,milk (乳),lactose (乳糖),lactate (分泌乳汁),lacteal (乳的),lactic (乳的),lactometer (乳計)
later,side (側面),lateral (側面的),bilateral (雙邊的),unilateral (單邊的),equilateral (等邊的),collateral (並行的/抵押品)
lev,"light, lift (舉起，輕)",elevate (抬高),levity (輕率),relevant (相關的),relieve (減輕),levitate (飄浮)
lex,"law, word (法律，詞彙)",lexicon (詞典),lexical (詞彙的),lexicography (詞典編纂),lexigraphy (定義拼寫),lexist (法學者)
liber,free (自由),liberty (自由),liberal (自由主義的),liberate (解放),deliberate (深思熟慮的),libertinism (放蕩)
lingu,"tongue, language (語，舌頭)",linguist (語言學家),linguistic (語言的),bilingual (雙語的),lingua (語言),linguiform (舌狀的)
loc,place (地方),local (當地的),location (地點),allocate (分配),dislocate (脫臼),locomotive (機車/移動的)
locut,speak (說),elocution (演講術),allocution (訓示),circumlocution (委婉說法),interlocutor (對話者),locutory (對話室)
log,"word, study (話，學問)",logic (邏輯),biology (生物學),apology (道歉),dialogue (對話),monologue (獨白)
loqu,speak (說),eloquent (雄辯的),loquacious (多話的),colloquial (口語的),soliloquy (自言自語),ventriloquist (腹語師)
luc,light (光),lucid (清晰的),elucidate (闡明),translucent (半透明的),lucent (發亮的),lucifer (路西法/啟明星)
lud,play (玩，遊戲),ludicrous (可笑的),elude (避開),delude (欺騙),collude (共謀),interlude (間奏)
lum,light (光),luminous (發光的),illuminate (照亮),luminary (傑出人物),lumen (流明),luminescence (發光)
lun,moon (月亮),lunar (月亮的),lunatic (瘋狂的),lunation (陰曆月),semilunar (半月形的),lunula (指甲弧影)
lus,"play, light (玩，光，幻覺)",illusion (幻覺),delusion (妄想),collusion (勾結),elusive (難懂的/逃避的),illustrate (說明/插圖)
magn,great (大),magnify (放大),magnificent (壯麗的),magnitude (巨大/等級),magnanimous (寬宏大量的),magnate (權貴)
man,hand (手),manual (手冊/手工的),manufacture (製造),manuscript (手稿),manipulate (操作/操控),manage (管理)
mand,"order, entrust (命令，委託)",mandate (授權),command (命令),demand (要求),mandatory (強制的),remand (還押)
mania,madness (狂熱),mania (狂熱),pyromania (縱火狂),kleptomania (盜竊癖),bibliomania (藏書狂),maniac (瘋子)
mar,sea (海),marine (海洋的),maritime (海事的),submarine (潛水艇),marina (小艇碼頭),mariner (水手)
mater,mother (母親),maternal (母親的),maternity (母性),maternity (產假),maternalism (母性主義),maternally (母親般地)
matr,mother (母親),matriarch (女家長),matrix (矩陣/母體),matricide (弒母),matrimony (婚姻),matriculate (錄取入學)
max,greatest (最大),maximum (最大值),maximize (最大化),maximal (最大的),maxim (格言),maximation (極大化)
medi,middle (中間),medium (媒介),mediate (調解),medieval (中世紀的),mediocre (平庸的),immediate (立即的)
melan,black (黑色),melanin (黑色素),melancholy (憂鬱),melanoma (黑色素瘤),melanotic (黑色的),melanism (黑化)
memor,remember (記憶),memory (記憶),memorize (記住),memorial (紀念碑),memorandum (備忘錄),commemorate (紀念)
merc,"trade, reward (貿易，報酬)",merchant (商人),commerce (商業),mercenary (唯利是圖的),mercantile (商業的),mercery (綢緞業)
merg,"dip, sink (沉)",merge (合併),emerge (浮現),submerge (淹沒),immerge (浸入),merger (合併案)
mers,"dip, sink (沉)",immerse (沉浸),submerse (淹沒),emersion (浮現),submersion (沉沒),immersive (沉浸式的)
meso,middle (中),mesosphere (中間層),mesopotamia (美索不達米亞),mesozoic (中生代),mesomorph (中胚層型),mesophyll (葉肉)
meter,measure (測量),meter (公尺/儀表),thermometer (溫度計),barometer (氣壓計),kilometer (公里),diameter (直徑)
metr,measure (測量),metric (公制的),metrome (節拍器),geometry (幾何學),symmetry (對稱),metrology (計量學)
migr,wander (遷徙),migrate (遷移),immigrant (移民),emigrate (移居國外),migratory (遷移的),immigration (移民入境)
miss,send (送),missile (飛彈),mission (任務),admission (進入許可),dismiss (解僱),emission (排放)
mit,send (送),admit (承認/准許),submit (提交/服從),transmit (傳送),emit (發出),permit (允許)
mob,move (動),mobile (移動的),mobilize (動員),mobility (流動性),automobile (汽車),mobilized (動員的)
mon,"warn, remind (警告，提醒)",monitor (監測器/班長),monument (紀念碑),admonish (訓誡),premonition (預感),monitory (勸告的)
morph,shape (形狀),morphology (形態學),amorphous (無定形的),metamorphosis (蛻變),anthropomorphic (擬人的),polymorph (多形體)
mort,death (死亡),mortal (致命的/凡人),mortuary (停屍間),mortify (使羞愧),immortal (不朽的),mortgage (抵押貸款)
mot,move (動),motion (運動),motive (動機),motivate (激勵),remote (遙遠的),promote (晉升/促銷)
mov,move (動),move (移動),movement (運動),movie (電影),remove (移除),movable (可移動的)
mut,change (改變),mutate (變異),mutant (變種),immutable (不變的),commute (通勤),mutual (相互的)
my,muscle (肌肉),myology (肌學),myocardium (心肌),myopathy (肌肉病),myopia (近視),myogram (肌電圖)
narr,tell (敘述),narrate (敘述),narrative (故事),narrator (旁白),narration (敘述),narrative (敘事的)
nat,born (出生),nature (自然/天性),natative (出生的),nation (國家),innate (先天的),natal (出生的)
nav,ship (船),navy (海軍),navigate (航行),naval (海軍的),navigation (導航),navigable (可航行的)
necr,death (死),necrosis (壞死),necrology (死亡名錄),necromancy (巫術),necropolis (大墓地),necropsy (驗屍)
neg,deny (否認),negative (否定的),neglect (疏忽),negate (否定),renege (違背),negligible (微不足道的)
nephr,kidney (腎),nephritis (腎炎),nephron (腎元),nephrology (腎科學),nephrectomy (腎切除),nephrotomy (腎切開)
neur,nerve (神經),neurology (神經學),neuron (神經元),neurotic (神經質的),neuralgic (神經痛的),neurosurgery (神經外科)
nom,"law, name (法律，名字)",nominate (提名),economy (經濟),astronomy (天文學),autonomy (自治),nominal (名義上的)
not,mark (標記),note (筆記),notice (注意),notation (符號系統),notable (顯著的),annotate (註解)
noun,declare (宣布),pronounce (發音),announce (宣布),denounce (譴責),renounce (放棄),pronouncement (宣言)
nov,new (新),novel (小說/新奇的),novice (新手),novelty (新奇),innovate (創新),renovate (翻新)
numer,number (數字),numeral (數字的),numerous (許多的),enumerate (列舉),numerator (分子),numerology (數秘術)
nunc,declare (宣布),pronounce (宣稱),announce (宣布),denunciate (譴責),renunciation (放棄),enunciate (闡明)
nutri,nourish (滋養),nutrition (營養),nutrient (養分),nutritious (有營養的),malnutrition (營養不良),nutriology (營養學)
ocul,eye (眼睛),ocular (視覺的),oculist (眼科醫生),binoculars (望遠鏡),monocular (單眼的),oculus (圓窗)
omni,all (全部),omnipotent (全能的),omniscient (全知的),omnipresent (無所不在),omnivorous (雜食的),omnibus (精選集)
opt,"eye, choose (視力，選擇)",optical (光學的),optician (眼鏡商),optimize (優化),option (選項),optimum (最佳)
ortho,straight (直),orthodox (正統的),orthopedics (整形外科),orthodontist (齒列矯正),orthography (拼字法),orthogonal (正交的)
oste,bone (骨頭),osteology (骨學),osteoporosis (骨質疏鬆),osteopath (整骨醫生),osteitis (骨炎),osteon (骨元)
pale,ancient (古老的),paleontology (古生物學),paleolithic (舊石器時代),paleozoic (古生代),paleography (古文書學),paleomagnetism (古地磁學)
pater,father (父親),paternal (父親的),paternity (父權),paternoster (主禱文),paternalism (家長式管治),paternally (父愛地)
path,"feeling, disease (感覺，疾病)",pathos (感染力),sympathy (同情),pathology (病理學),empathy (共情),antipathy (反感)
patr,father (父親),patriarch (家長/主教),patriot (愛國者),patron (贊助人),expatriate (移居國外者),patricide (弒父)
ped,foot (腳),pedal (踏板),pedestrian (行人),pedicure (修腳),pedometer (計步器),biped (二足動物)
ped,child (兒童),pedagogy (教育學),pediatrics (兒科),pedagogue (教師),pedant (書呆子),orthopedics (骨科)
pel,"drive, push (推，驅使)",expel (開除),propel (推進),compel (強迫),repel (擊退),impel (驅使)
pen,punish (處罰),penalty (處罰),penalize (處罰),penitentiary (監獄),repent (後悔),penology (監獄學)
peps,digest (消化),pepsin (胃蛋白酶),pepsis (消化),dyspepsia (消化不良),pepsi (百事/助消化),eupepsia (消化良好)
pept,digest (消化),peptic (消化的),peptide (肽),peptone (蛋白腖),peptize (膠溶),peptonize (使變蛋白腖)
per,go through (通過),permeate (滲透),percolate (過濾),perforate (穿孔),pervade (遍及),perspect (透視)
phag,eat (吃),phage (噬菌體),macrophage (巨噬細胞),phagocyte (吞噬細胞),phagocytosis (吞噬作用),geophagy (食土癖)
phil,love (愛),philosophy (哲學),philanthropy (慈善),philology (語言學),philharmonic (愛樂的),philippic (抨擊性演說)
phobia,fear (恐懼),phobia (恐懼症),claustrophobia (幽閉恐懼),hydrophobia (恐水症),aerophobia (飛行恐懼),acrophobia (懼高症)
phon,sound (聲音),phone (電話),phonic (語音的),symphony (交響樂),microphone (麥克風),phonology (音韻學)
phot,light (光),photon (光子),photograph (照片),photosynthesis (光合作用),photogenic (上相的),photics (光學)
phys,"nature, body (自然，身體)",physics (物理),physical (身體的),physician (醫生),physiology (生理學),physique (體格)
phyt,plant (植物),phytology (植物學),phytoplankton (浮游植物),neophyte (新手),phytopathogen (植物病原),phyto-chemistry (植物化學)
plac,"please, calm (討好，平靜)",placid (平靜的),placate (安撫),complacent (自滿的),placebo (安慰劑),implacable (難以和解的)
pod,foot (腳),podium (講台),podiatrist (足科醫生),tripod (三腳架),gastropod (腹足綱),podology (足病學)
polis,city (城市),polis (城邦),metropolis (大都市),police (警察),politics (政治),acropolis (衛城)
pon,"put, place (放置)",postpone (延期),component (組件),exponent (指數),opponent (對手),proponent (支持者)
pop,people (人民),popular (受歡迎的),population (人口),populate (居住於),populace (大眾),populism (民粹主義)
port,carry (提，運送),portable (手提的),export (出口),import (進口),report (報告),transport (運輸)
pos,"put, place (放置)",position (位置),deposit (存款/沉澱),compose (組成),oppose (反對),suppose (假設)
pot,power (力量),potent (強效的),potential (潛力),omnipotent (全能的),impotent (無力的),potentiometer (電位計)
press,press (壓),press (報刊/擠壓),pressure (壓力),express (表達),depress (使沮喪),impress (印下)
prim,first (第一),primary (主要的),primitive (原始的),primate (靈長類),primeval (太古的),primogeniture (長子繼承制)
psych,mind (心智),psychology (心理學),psychiatry (精神病學),psychic (精神的),psychosis (精神病),psychotherapy (心理治療)
pugn,fight (戰鬥),pugnacious (好鬥的),repugnant (反感的),impugn (責難),pugnacity (好鬥性),pugnalist (擊劍者)
puls,"drive, push (推)",pulse (脈搏),impulse (衝動),repulse (擊退),compulsion (強迫),expulsion (開除)
pung,prick (刺),pungent (辛辣的),expunge (刪除),pungency (尖刻),pungently (刺鼻地),pungar (刺痛者)
purg,clean (清洗),purge (清除),purgatory (煉獄),expurgate (刪改),purgation (淨化),purgative (瀉藥)
put,think (思考),compute (計算),deputy (代理人),repute (名聲),dispute (爭議),impute (歸咎)
pyr,fire (火),pyre (火葬),pyrotechnics (煙火製造術),pyromania (縱火狂),pyroxene (輝石),pyrometer (高溫計)
quadr,four (四),quadrant (象限),quadratic (二次的),quadrilateral (四邊形),quadric (二次的),quadric (四次的)
quart,fourth (四分之一),quarter (四分之一),quartet (四重奏),quart (夸脫),quarto (四開本),quartile (四分位數)
quint,fifth (五分之一),quintet (五重奏),quintuplet (五胞胎),quintessence (精華),quintile (五分位),quintic (五次的)
radi,"ray, beam (光束)",radio (收音機),radiate (輻射),radiation (輻射),radius (半徑),radiant (容光煥發的)
ram,branch (樹枝),ramify (分枝),ramification (後果/分枝),ramous (多枝的),ramuline (小枝的),ramiform (枝狀的)
reg,"rule, guide (統治)",regent (攝政王),regular (規則的),regulate (調節),region (地區),regime (政體)
rhin,nose (鼻子),rhinoceros (犀牛),rhinoplasty (整鼻術),rhinitis (鼻炎),rhinology (鼻科學),rhinovirus (鼻病毒)
