chapter,subchapter,word,pos,meaning,english sentence,chinese sentence
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,postage,n.,郵費,The accounting department covers postage for all official mail.,所有公務郵件的郵資由會計部門支出。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,punctuality,n.,準時;守時,"Punctuality is expected, especially for client meetings.",尤其是與客戶會議時，準時是基本要求。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,schedule,n./v.,時間表;計畫表,The project schedule was revised due to a change in scope.,因為專案範圍變動，時程表已重新調整。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,shift,n./v.,換班;輪班;值班,She works the morning shift and hands over to me at noon.,她上早班，中午交接給我。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,staff,n.,全體職員,All staff are required to wear ID badges in the office.,所有員工在辦公室都必須配戴識別證。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,strike,n./v.,罷工,The delivery was delayed because of a transport workers’ strike.,因為運輸工人罷工，貨運因此延誤。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,task,n.,"工作,任務",I’ll assign the task to someone who has more experience with audits.,我會把這項任務交給較有稽核經驗的人。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,work force,n.,工作人員;勞動人口,The company is expanding its work force to support new branches.,公司正在擴增人力，以支援新據點。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,assignment,n.,"分配;工作,分派",Your assignment is to prepare the minutes for today’s meeting.,你的工作分派是整理今天會議的會議紀錄。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,bulletin,n.,公報;告示;定期報告書,There’s a bulletin on the notice board about the new leave policy.,公告欄上貼著一份關於新請假制度的通知。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,calculator,n.,計算器,Use a calculator to double-check the totals before you submit the claim.,送出請款前，請用計算機再核對一次總額。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,carbon copy,n.,用複寫紙複製的副本,Please send a carbon copy of the email to the finance team.,請把這封信副本同時寄給財務團隊。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,colleague,n.,"同事,同僚",I’ll ask a colleague to cover the phone while I’m in the meeting.,我開會時會請同事幫我代接電話。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,document,n./v.,"文件,證件",Make sure the document is saved in PDF format before uploading.,上傳前請確認文件已存成 PDF 格式。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,extension,n.,分機(電話);延期,Dial extension 325 if you need technical support.,若需要技術支援，請撥分機 325。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,intercom,n.,對講機,The receptionist announced your arrival over the intercom.,櫃台用對講系統廣播你已抵達。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,memo,n.,便條;便箋;備忘錄,I sent a memo to remind everyone about the deadline.,我發了一份備忘錄提醒大家截止日。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,operator,n.,接線生,Please contact the switchboard operator to transfer your call.,請聯絡總機人員幫你轉接電話。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,overtime,n./adv.,加班的時間,Overtime must be approved in advance by your department head.,加班必須先由部門主管事前核准。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,portfolio,n.,"作品夾,公事包",Bring your portfolio to the interview to showcase your work.,面試時請帶作品集來展示你的成果。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,printed matter,n.,印刷品,All printed matter should be reviewed before distribution.,所有印刷品在發送前都要先審核。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,receptionist,n.,接待員,The receptionist will issue a visitor badge for you.,接待員會發給你一張訪客證。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,secretary,n.,秘書,Her secretary scheduled the conference room for the afternoon.,她的秘書已安排好下午的會議室。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,shorthand,n.,"速記,速記法",The assistant took shorthand notes during the briefing.,助理在簡報時用速記做筆記。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,stapler,n.,釘書機,Could you pass me the stapler? I need to bind these forms.,可以把釘書機遞給我嗎？我需要把這些表單訂起來。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,tardy,adj.,遲緩;遲到的;遲延的,Employees who are repeatedly tardy will receive a warning.,屢次遲到的員工會收到警告。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,typist,n.,打字員,The typist finished transcribing the report this morning.,打字員今天早上已完成報告誊打。
行政與組織運作 / Administration & Organizational Operations,辦公室與日常行政 / Office & Routine Administration,xerox,v./n.,影印,Please xerox ten copies of the agenda for the meeting.,請影印十份議程給會議使用。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,allocate,v.,撥出;分配;配置,We need to allocate more resources to the customer service team.,我們需要分配更多資源給客服團隊。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,applicant,n.,申請人,Each applicant must submit the form online by the end of the week.,每位應徵者都必須在本週結束前線上提交表單。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,authorize,v.,授權;委託,Only managers are authorized to approve overtime requests.,只有主管有權核准加班申請。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,bonus,n.,紅利;額外津貼;獎金,Employees may receive a bonus based on their annual performance.,員工可能依年度績效獲得獎金。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,capability,n.,能力;才幹;潛力;性能,She has the capability to handle multiple projects at once.,她有能力同時處理多個專案。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,collaboration,n.,合作;通敵,Close collaboration between departments helped solve the issue quickly.,部門間的密切合作讓問題很快被解決。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,consultation,n.,諮詢;商量;商議;會議,Please schedule a consultation with HR if you have questions about benefits.,如果你對福利有疑問，請安排與人資諮詢。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,curriculum vitae,n.,履歷,He attached his curriculum vitae to the job application email.,他在應徵郵件中附上了履歷。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,eligible,adj.,"合格的,合適的",Only full-time staff are eligible for the housing allowance.,只有全職員工符合住房津貼資格。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,employer,n.,雇主,The employer must provide a safe working environment.,雇主必須提供安全的工作環境。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,executive,n./adj.,行政或管理人員,The executives will review the proposal at tomorrow’s meeting.,高階主管將在明天的會議中審查提案。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,income,n.,收入或所得,Her monthly income increased after the promotion.,她升遷後月收入提高了。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,lay off,phr. v.,(暫時)解雇,The company had to lay off several workers during the downturn.,公司在景氣不佳時不得不裁員。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,occupation,n.,職業,Please state your current occupation on the application form.,請在申請表上填寫你目前的職業。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,part-time,adj./adv.,兼任的;兼職的,We are hiring part-time staff for weekend shifts.,我們正在招募週末班的兼職人員。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,permanent,adj.,"不變的,永久的",He was offered a permanent position after the probation period.,試用期結束後，他獲得正式職位。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,promote,v.,升遷;促銷,She was promoted to team leader last month.,她上個月被升任為組長。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,recruit,v./n.,吸收;徵募,The company plans to recruit new graduates this summer.,公司計畫在今年夏天招募新鮮人。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,resume,n.,履歷表,Please send an updated resume with your latest experience.,請提供包含最新經歷的更新履歷。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,salary,n.,薪水,Many employees are asking for a salary adjustment this year.,許多員工今年提出調薪需求。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,amateur,n./adj.,業餘技術家;外行人;非專家,He is an amateur designer who is building his portfolio.,他是正在累積作品集的業餘設計師。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,appoint,v.,任命:指定,The board appointed her as the new department head.,董事會任命她為新的部門主管。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,benefit,v./n.,有益於;受益,The benefit package includes health insurance and paid leave.,福利方案包含健康保險與帶薪休假。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,candidate,n.,候選人,She is a strong candidate for the sales manager position.,她是業務經理職缺的強力候選人。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,certificate,n./v.,憑證;證書,You need a certificate to prove completion of the training.,你需要一張證書來證明已完成訓練。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,competent,adj.,"有能力的,勝任的",He is competent in both written and spoken English.,他在英文的聽說讀寫方面都很勝任。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,coordinate,v.,協調:調整,Please coordinate with the finance team before finalizing the budget.,在定案預算前，請先與財務團隊協調。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,deadline,n.,截至期限,The deadline for submitting applications is 5 p.m. on Friday.,申請提交的截止時間是週五下午五點。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,employee,n.,受雇者,All employees must follow the company’s security policy.,所有員工都必須遵守公司的資安政策。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,evaluation,n.,評價:估價,Your performance evaluation will be conducted next week.,你的績效考核將在下週進行。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,expertise,n.,專門技術或知識,She has expertise in project management and risk control.,她在專案管理與風險控管方面有專業能力。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,interview,n./v.,會面;面談,We will interview the shortlisted candidates tomorrow.,我們明天會面試入選的候選人。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,novice,n.,生手;新手;初學者,"As a novice, he still needs guidance on office procedures.",作為新手，他仍需要指導熟悉辦公流程。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,pension,n./v.,養老金;退休金,The company offers a pension plan for long-term employees.,公司為資深員工提供退休金制度。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,personnel,n.,全體人員;人事部門,Please contact the personnel department for transfer procedures.,調職流程請洽人事部。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,recommendation,n.,推薦;推薦書;勸告,He asked his manager for a letter of recommendation.,他請主管幫他寫一封推薦信。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,resign,v.,辭職,She decided to resign after receiving another offer.,她收到其他錄取後決定辭職。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,retire,v.,退休,Many employees plan to retire early next year.,許多員工計畫明年提早退休。
行政與組織運作 / Administration & Organizational Operations,人事與組織管理 / HR & Organizational Management,substitute,n./v.,代理人;代用品,We arranged a substitute to cover her duties while she was on leave.,她休假期間我們安排了代班人員接手工作。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,accrue,v.,產生;增加,Interest will accrue on the outstanding balance until the invoice is paid.,在發票付清前，未結清款項會持續產生利息。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,acquisiton,n.,獲得;習得,The acquisition of a regional distributor helped the company enter a new market.,收購一家區域經銷商讓公司順利打入新市場。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,amplify,v.,放大;加強;擴展,We plan to amplify our brand message through a nationwide advertising campaign.,我們計畫透過全國性廣告活動加強品牌訊息。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,asset,n.,有用的東西;優點;長處,Our customer database is one of the company’s most valuable assets.,客戶資料庫是公司最重要的資產之一。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,buyout/buy out,n./phr. v.,買進全部產權或股權;收購全部,The private equity fund completed a buyout of the startup last quarter.,那家私募基金上季完成對新創公司的全面收購。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,corporation,n.,法人:公司,The corporation reports its earnings to shareholders every quarter.,該公司每季向股東公布盈餘。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,cutback,n.,減少;取消,"Due to rising costs, the company announced a cutback in travel expenses.",因成本上升，公司宣布縮減差旅支出。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,enterprise,n.,企業,A local enterprise partnered with us to distribute the product.,一家本地企業與我們合作銷售該產品。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,equity,n.,公平;公正;扣除抵押、稅金後的剩餘財產價值,Employees can purchase company equity through the stock plan.,員工可透過員工持股計畫購買公司股權。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,financier,n.,財政家;金融業者;資本家;投資者,The financier agreed to provide funding for the expansion project.,出資人同意為擴張計畫提供資金。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,franchise,n./v.,經銷權;加盟權,They opened a new franchise in Taichung under the same brand.,他們以同一品牌在台中開了一間新的加盟店。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,launch,v./n.,開辦;展開;發起;開始,The company will launch its new app at the end of this month.,公司將在本月底推出新 App。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,monopoly,n.,壟斷;獨佔;專賣,"Without competition, the supplier held a monopoly over the market.",因缺乏競爭，那家供應商壟斷了市場。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,phase,n./v.,階段,We are entering the final phase of product development.,我們正進入產品開發的最後階段。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,profile,n./v.,側面象;略轉;引人矚目的狀態,Please update your profile on the company website.,請更新你在公司網站上的個人資料。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,proposition,n.,提案;建議;計畫,The sales team presented a clear value proposition to the client.,業務團隊向客戶提出清楚的價值主張。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,prospectus,n.,計畫書;說明書;慕股書,All investors received a prospectus before the IPO.,所有投資人都在首次公開發行前收到募股說明書。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,rival,n./adj.,競爭者;對手;匹敵者;勢均力敵者(2)競爭的,Our main rival lowered prices to attract more customers.,主要競爭對手降價以吸引更多客戶。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,subsidiary,n./adj.,子公司,The subsidiary will operate independently under its own management team.,該子公司將由自己的管理團隊獨立運作。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,track record,n.,過去的記錄,"With a strong track record, she was chosen to lead the new division.",由於績效紀錄出色，她被選為新部門負責人。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,acquire,v.,獲得,The company plans to acquire two smaller brands this year.,公司計畫今年收購兩個較小的品牌。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,affiliate,n./v.,支部;分會;子公司,Our affiliate in Singapore handles all regional orders.,我們在新加坡的關係企業負責所有區域訂單。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,assess,v.,評估(財產價值);評定,We need to assess the risks before signing the contract.,在簽約前我們需要評估風險。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,benchmark,n./v.,基準;水準點;標準,This survey will serve as a benchmark for customer satisfaction.,這份調查將作為客戶滿意度的基準。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,carry out,phr. v.,執行;貫徹;完成,Please carry out a market analysis before the next meeting.,請在下次會議前進行市場分析。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,cut down,phr. v.,削減;縮短,We must cut down on unnecessary spending to meet the budget.,我們必須削減不必要的開支以符合預算。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,embezzle,v.,盜用;挪用;侵佔(公款等),The accountant was fired for embezzling company funds.,那位會計因侵占公司款項而被解雇。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,entrepreneur,n.,企業家;主辦人,The entrepreneur secured funding to start an online business.,這位創業家取得資金，成立線上公司。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,expand,v.,擴張;擴大,We aim to expand our services to Southeast Asia.,我們目標把服務擴展到東南亞。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,firm,n./adj.,公司;商行,The firm specializes in corporate training and consulting.,這家公司專精於企業訓練與顧問服務。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,integrate,v.,統合;整合,We need to integrate the new system with our existing database.,我們需要把新系統整合進既有資料庫。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,merger,n.,合併;併吞,The merger created the largest retailer in the region.,合併後形成該地區最大的零售商。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,pending,adj./prep.,未決定的;待決定的;即將發生,Your application is still pending approval from the director.,你的申請仍在等待主管核准。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,preliminary,adj./n.,"初步的,開始的",These are preliminary results and may change after review.,這些是初步結果，審查後可能會變動。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,propose,v.,提議;建議,They propose a new pricing plan for corporate clients.,他們提出一套新的企業客戶定價方案。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,prospect,n./v.,期望或預見的事;展望;期望,Our sales prospects look promising for the next quarter.,我們下一季的銷售前景看好。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,prosperity,n.,繁榮;成功;興隆,Economic prosperity has increased consumer demand.,經濟繁榮帶動了消費需求。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,scheme,n./v.,計畫;設計;圖謀,The marketing scheme focused on social media influencers.,這項行銷方案以社群媒體網紅為主軸。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,thrive,v.,茂盛;興旺;繁榮,Small businesses can thrive if they understand their customers well.,小企業若能掌握客戶需求，就能茁壯成長。
商務與對外發展 / Business & External Development,業務開發與市場拓展 / Business Development & Market Expansion,undervalue,v.,低估價值;看輕,Don’t undervalue your product; customers are willing to pay for quality.,不要低估你的產品價值，客戶願意為品質付費。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,account,n./v.,帳目;帳單;帳戶,Please review your account statement before the end of the month.,請在月底前檢視你的帳戶明細。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,balance,n./v.,餘額;差額,The balance on this invoice is due within 30 days.,這張發票的餘額需在 30 天內付清。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,bond,n./v.,債券,The company issued bonds to finance the new factory.,公司發行債券以籌措新工廠資金。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,chamber of commerce,n.,商會,The chamber of commerce hosts a tax seminar every spring.,商會每年春天都會舉辦稅務研討會。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,credit,n./v.,信任;信用;信譽;存款數額;融資;賒銷,We have enough credit to place an order with this supplier.,我們和這家供應商的信用額度足夠，可以下單。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,debt,n.,債;債務,The firm is working to reduce its long-term debt.,公司正努力降低長期負債。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,deficit,n.,赤字;虧損額,A budget deficit was reported for the second quarter.,第二季出現預算赤字。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,depreciation,n.,跌價:貶值,Depreciation is recorded as a non-cash expense each year.,折舊每年會被記為非現金支出。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,devaluation,n.,貶值,The devaluation of the currency increased import costs.,貨幣貶值提高了進口成本。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,endorse,v.,贊同;支持;簽名;背書,Please endorse the check on the back before depositing it.,存入支票前請先在背面簽名背書。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,exempt,adj./v.,被免除的;豁免的,Certain items are exempt from sales tax.,部分項目免徵營業稅。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,expense,n.,消耗;消費,Travel expenses must be submitted with receipts.,差旅費必須附收據報支。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,fluctuation,n.,波動;起伏:漲落,We saw a fluctuation in fuel prices last month.,上個月油價出現波動。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,gross,adj./n./v.,總共的;全部的,Gross profit rose after we cut production costs.,我們降低生產成本後，毛利上升。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,inflation,n.,物價飛漲;通貨膨脹,Inflation has pushed up operating expenses.,通膨推升了營運成本。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,overdraft,n.,透支;透支額,Your account may be charged an overdraft fee if the balance goes negative.,若帳戶餘額變負，可能會被收取透支手續費。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,profit,n./v.,利潤;收益;營利,The company’s profit increased by 12% year over year.,公司的獲利較去年同期成長 12%。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,revenue,n.,收益;歲入;稅收,Advertising revenue fell during the off-season.,淡季期間廣告收入下降。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,stock,n./v.,公債;證券;股票,The stock price climbed after the earnings announcement.,財報公布後股價上漲。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,withdrawl,n.,收回:取回:撤回;提款,A large cash withdrawl was made the day before the audit.,稽核前一天出現一筆大額現金提領。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,accountant,n.,會計師;會計員,The accountant is preparing the quarterly financial statements.,會計師正在編製季度財務報表。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,bankrupt,adj./v.,破產的;倒閉的,The retailer went bankrupt after failing to repay its loans.,該零售商因無力償還貸款而破產。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,capital,n./adj.,資金:資本,We need additional capital to expand overseas.,我們需要更多資本才能拓展海外市場。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,convert,v./n.,轉換;改變,You can convert the invoice to a PDF for submission.,你可以把發票轉成 PDF 再送出。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,currency,n.,貨幣;流通;通用,Currency exchange rates are updated daily.,匯率每天都會更新。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,deduction,n.,扣除;扣除額,The deduction will be shown on your next paycheck.,這筆扣款會顯示在你下一次薪資單上。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,deposit,v./n.,付押金;付保證金,Please make a deposit to secure the reservation.,請先支付訂金以保留預約。
行政與組織運作 / Administration & Organizational Operations,財務與會計作業 / Finance & Accounting Operations,depression,n.,不景氣;憂傷;消沉;沮喪,"During the economic depression, consumer spending declined sharply.",經濟蕭條期間，消費支出大幅下滑。
