Collocation,Chinese meaning,Meaning,Sentence
balance the books,結帳 / 使收支平衡,To ensure that income and expenses are equal.,"Despite a tough year, the company managed to balance the books.                         "
balance the budget,平衡預算,To ensure income equals expenses.,It's quite difficult sometimes to balance the budget because of increased costs.                                           
bang up to date,最新式的 / 跟上潮流,An informal phrase meaning completely modern and current.,"With the new software installed, my computer is bang up to date.                        "
bar chart,長條圖 / 柱狀圖,A chart that uses rectangular bars to represent data.,"If you are presenting numbers or data, pie charts, bar charts or graphs are often the clearest way to present them. "
battle raged,戰鬥激烈進行,A battle continued with great force.,The battle raged for several days.                                                                                         
be diagnosed with,被診斷出患有,To be medically identified as having a specific illness or condition.,He was diagnosed with lung cancer and died a year later.                                                            
be engrossed/absorbed in a book,埋首書中,To be so focused on a book that you are unaware of your surroundings.,Claudia was so engrossed in her book that she didn't hear me.                                                       
be headline/front-page news,成為頭條新聞,"To be a main story in the news, featured prominently.",Any story about the Royal Family will be headline/front-page news in Britain.                                       
be in (complete) agreement,(完全) 意見一致,To agree completely.,We are in complete agreement over the question of drug abuse in athletics.                                                 
be taken ill,突然生病,To suddenly become ill.,My aunt was taken ill when she was on holiday.                                                                             
beam of light,一束光,A directed projection of light.,"Suddenly a powerful beam of light shone into the room and a police officer entered, with a torch in her hand.              "
bear a grudge,懷恨在心 / 記仇,To continue feeling angry or resentful toward someone for a past offense.,You are good at keeping secrets and never bear a grudge.                                                            
bear the cost of,承擔費用,(Formal) To pay for something.,Mr Trotter bore the cost of the repairs.                                                                                   
bear the suspense,忍受懸念,To endure a feeling of excitement or anxiety about what is going to happen.,The end of the film was so thrilling; I could hardly bear the suspense.                 
beat/defeat a team/an opponent,擊敗隊伍 / 擊敗對手,To win against another team or person in a competition. Defeat is more formal.,He defeated his opponent in the tennis final.                                                                       
become (un)popular,變得(不)受歡迎,"To start being liked or disliked by many people. Note:  Become  is used with this adjective, not  get .",The new policy quickly became unpopular with voters.                                                                
become depressed,變得憂鬱,To begin to suffer from a state of serious unhappiness.,He became depressed after his wife's death.                                                                         
become extinct,滅絕,To no longer exist (used for species).,Dinosaurs became extinct thousands of years ago.                                                                           
become famous,成名,"To become widely known and recognized. Note:  Become  is used with this adjective, not  get .",Niklas has always dreamt of becoming famous.                                                                        
become homeless,無家可歸,"To lose one's home and have to live without shelter. Note:  Become  is used with this adjective, not  get .",More people have become homeless this year than in any previous year.                                               
become involved in,涉入 / 參與,To start taking part in an activity or situation. Become is more formal than get.,I would like to become involved in raising money for charity.                                                       
become pregnant,懷孕,To conceive a child. Become is more formal than get.,She gave up smoking when she became pregnant.                                                                       
bedtime reading,睡前讀物,A book or other material read in bed before sleeping.,I don't think a horror story makes good bedtime reading.                                                            
bend the rules,變通規則 / 通融,(Informal) To break rules in a way that is not considered important.,I hope we can bend the rules and let her take the exam on another day.                                                     
big decision,重大決定,A very important choice that must be made.,It was a big decision to make.                                                                                      
big hit,非常成功 / 轟動,A great success.,"After their massive hit in 2004 with Megalith, their record company has released this CD hoping for another big hit.       "
big screen,大銀幕,The cinema.,I think historical dramas work particularly well on the big screen.                                                        
birth rate rises/falls,出生率上升/下降,The number of births in a population increases or decreases.,Over the last few years the birth rate has been falling.                                                            
biting winds,刺骨寒風,Very cold winds.,We decided to stay inside due to the biting winds.                                                                  
bitterly cold,嚴寒,Very cold.,It was bitterly cold and pitch dark.                                                                                       
bitterly disappointed,極度失望,Very disappointed.,I was bitterly disappointed recently when a friend let me down badly.                                                      
blacken his name,抹黑他的名聲,To destroy someone's reputation.,The government tried to blacken his name because he was critical of their policies.                                        
blatantly obvious,顯而易見,Extremely and clearly obvious.,It was blatantly obvious that he was only interested in her money.                      
bleak landscape,荒涼的景色,"A landscape that is empty, cold, and unwelcoming.",Here it's a bleak landscape with rocky mountains in the distance.                                                          
blissfully unaware,樂得不知情 / 毫無察覺,"To have no idea at all, often about something unpleasant.",Harry was blissfully unaware that he was in danger.                                                                        
block the view,擋住視線,To obstruct the line of sight.,Unfortunately the trees block the view of the snow-covered mountains.                                                      
blot out that memory,抹去那段記憶,To avoid remembering something unpleasant.,I can see why you wanted to blot out that memory.                                                                          
board the plane,登機,To get on a plane.,"The passenger boarded the plane on time, but it was delayed taking off and she missed her connecting flight in Amsterdam.  "
boarding the aircraft,正在登機,(Formal) Getting on the plane.,We should be boarding the aircraft in about ten minutes.                                                                   
body odour,體味,An unpleasant smell from a person's body.,As I entered the train carriage I couldn't help noticing the body odour.                                                   
bored stiff,悶得發慌,(Informal) Extremely bored.,The students were all bored stiff by the lecture.                                                                          
bored stupid,無聊透頂,An informal expression for being extremely bored.,"We were all bored stupid by the long, repetitive lecture.                               "
box-office hit,票房大賣,A film that is extremely successful with audiences.,"I'd also like it to be an immediate box-office hit, playing to full houses worldwide.                                      "
break a habit,改掉習慣,To stop doing something that you do regularly.,It is often much more difficult than you'd expect to break a habit.                                                        
break the cycle,打破惡性循環,To end a negative pattern of behavior or events.,The program aims to help individuals break the cycle of dependency.                     
break the news,宣佈壞消息,To tell someone about something bad that has happened.,She found it very difficult to break the news of her grandfather's death to her mother. 
breakneck speed,極快的速度,Carelessly fast and dangerous speed.,He drove at breakneck speed along the motorway and was soon stopped by the police.                                         
breathtaking scenery,令人屏息的景色,Extremely beautiful natural landscapes.,It's a very peaceful/tranquil village surrounded by some breathtaking scenery.                                             
breed crime,滋生犯罪,(Formal) To cause crime.,These social conditions breed crime.                                                                                       
brief chat,簡短閒聊,"A short, informal conversation.",We had a brief chat about the exams but didn't have time to discuss them properly.                                  
bright colour,鮮豔的顏色,"A strong, vivid colour.",Emma always wears red or yellow or some other bright colour.                                                        
bright red,鮮紅色,"A strong, vivid red colour.",I was so embarrassed that I went bright red.                                                                               
brilliant career,輝煌的職業生涯,A very successful professional life.,She left her small town behind and went on to have a brilliant career in politics.                                  
brilliant success,巨大的成功,An outstandingly successful result or achievement.,His self-portrait was a brilliant success.                                                                          
bring on a substitute,換替補上場,"In sports, to replace one player with another.",The manager may decide to drop the player from the team or bring on a substitute.                                   
bring to an end,結束,To cause something to finish.,The 12-year civil war in Collocania was finally brought to an end yesterday when the two sides signed a peace treaty.      
bring traffic to a halt,使交通癱瘓,To cause traffic to stop completely.,A serious accident on the motorway brought traffic to a halt for several hours.         
brisk business,生意興隆,A lot of business activity.,Her clothes boutique is doing brisk business since the shopping centre was renovated.                                      
brisk walk,快走,A fast-paced walk.,In the morning she liked a brisk walk.                                                                                     
broad accent,口音很重,A strong regional accent.,He has a broad Scottish accent that can be difficult to understand at first.            
broad agreement,廣泛共識,A general consensus or agreement on a topic.,There is broad agreement that the new policy will be beneficial.                        
broad hints,明顯的暗示,Obvious but indirect suggestions.,An article dropped a number of broad hints as to who it was.                                                        
broad shoulders,寬闊的肩膀,"Having wide shoulders, often implying physical strength.",My father and my two older brothers are all well-built with broad shoulders.                                        
broken home,破碎的家庭,A family where the parents have separated or divorced.,Children whose parents have separated or divorced are said to come from a broken home.                                     
browse the web,瀏覽網頁,To look at websites on the internet.,"No, I just want to browse the web for a while.                                                                             "
budget accommodation,廉價住宿,Very cheap accommodation.,"As a student, I can't afford to stay in smart hotels. I always have to look for budget accommodation.                      "
build on the success,乘勝追擊,To use success as a foundation to achieve more.,The company hopes to build on the success of its last product launch.                   
bullet points,項目符號 / 重點列表,"A list of items preceded by a symbol, used to organize information.",You might want to use bullet points to help the audience follow your argument.                                      
bumper crop,大豐收,A very large harvest of a particular crop.,"Thanks to the good weather, we had a bumper crop of tomatoes last year.                 "
bumper-to-bumper traffic,交通擁堵,Traffic where cars are so many and so close that they are almost touching each other.,Every morning I get stuck in bumper-to-bumper traffic on my way to work.                                                   
burning a CD,燒錄光碟,To copy files to a compact disc.,Burning a CD is a quick and easy way to back up your work.                                                                 
burning of fossil fuels,燃燒化石燃料,"The combustion of fuels such as gas, coal, and oil.",Exhaust fumes from millions of vehicles and the burning of fossil fuels are causing irreparable damage to our environment. 
burst into tears,放聲大哭,To suddenly start crying.,"When she saw her exam results, Kate burst into tears.                                                                      "
burst of energy  /  bursting with energy,精力充沛,"A sudden feeling of being full of energy (burst of), or the state of seeming to be full of energy (bursting with).",I had a sudden burst of energy and cleaned the entire house.                            
burst their banks,決堤,When rivers flood.,Several rivers burst their banks.                                                                                          
bushy eyebrows,濃眉,Very thick eyebrows.,My brothers both have thick hair and bushy eyebrows.                                                                
business is booming,生意興隆,Business is doing extremely well.,Business is booming for Internet-based travel companies as more people book travel online.                                 
business trip,出差,A journey taken for business purposes.,"I know next week is a business trip, but you must do some sightseeing too while you're here.                               "
call a halt,叫停,"To order something (e.g., military action, a strike) to stop.",The union decided to call a halt to the strike.                                                 
call a truce,停戰,To agree to a temporary stop in a conflict.,The two generals met to call a truce.                                                                                     
call in loans,收回貸款,To demand repayment of loans.,"If borrowers default, banks are forced to call in loans.                                        "
call in the receivers,申請破產接管,To appoint an official to manage a company that is in financial trouble.,The business was doing so poorly they had to call in the receivers.                             
called for a celebration,值得慶祝,To be an occasion that deserves to be celebrated.,Thirty years of marriage definitely called for a celebration.                                   
cameo role,客串角色,A small but special part in a film.,I'd like Judi Dench to take on a cameo role.                                                                              
careful consideration,深思熟慮,Thinking about something with great care and attention.,We reached this decision after careful consideration.                                           
carry my bag,幫我拿包包,To hold and transport someone's bag for them.,He kindly offered to carry my bag for me.                                                              
carry out an investigation,展開調查,To conduct an official inquiry.,Police are carrying out an investigation into a major theft in a factory in Woodvale.                                     
carry out research,進行研究,"To conduct a detailed study of a subject to discover new information. Note the verb: we  do  or  carry out  research, not  make  research.",The scientists will carry out research into the effects of the new drug.                               
carry out work,執行工作,To do work.,At the moment we are carrying out work on the design of the new stadium.                                                  
cast a film,選角,To select the actors for a film.,The director is travelling to New York to cast the film.                                               
cast a shadow over,蒙上陰影,To make a happy event less happy or cheerful.,My sister's illness cast a shadow over our New Year family reunion.                                                       
cast doubt on,質疑,"To make something seem less certain, good, or true.",The new statistics cast doubt on the claim that using mobile phones does not damage children's health. 
cast Jenni Adams in the role,選珍妮·亞當斯飾演該角,To choose an actor for a specific part in a film or play.,Whoever decided to cast Jenni Adams in the role of the grandmother was a genius.                
catch a cold,感冒,To become ill with a cold.,I got soaking wet and caught a cold.                                                                                      
catch a glimpse of,瞥見,To see something for a very short time.,"As we turned a corner, we caught a glimpse of a kingfisher standing on a branch.                                          "
catchy tunes,朗朗上口的旋律,Melodies that are pleasant and easy to remember.,For fans of easy listening and catchy tunes this is all you need.                                                         
cater for everyone's tastes,迎合大家的口味,To provide what is wanted by all different types of people.,They have great in-flight entertainment too - they try to cater for everyone's tastes.                                    
cause a sensation,引起轟動,To cause great excitement or interest.,Their love affair caused a sensation.                                                                                     
cause an uproar,引起騷動,To make a lot of people complain angrily.,The book caused an uproar in the United States.                                                                           
cause pain,引起疼痛,To be the reason someone feels physical or emotional suffering.,The injury continued to cause him pain for several weeks.                                              
cease trading,停止營業,To close or stop operating a business.,"Owing to the economic crisis, many small firms ceased trading.                                         "
ceasefire came into effect,停火生效,An agreement to stop fighting started to apply.,A ceasefire was signed last month and it came into effect at midnight last night.                                         
cement a friendship,鞏固友誼,To make a friendship stronger.,Spending several weeks on holiday together has cemented their friendship.                              
challenge the theory,挑戰理論,To question a theory.,Simon Hart challenges the theory of social change put forward by Professor Kemp.                                          
change jobs,換工作,To start a new job.,Jack is going to change jobs next year.                                                                                   
change money,兌換貨幣,To exchange one currency for another.,I need to change some money before my trip to Japan.                                                   
change places/seats,換位子 / 座位,To swap positions with someone else.,Would you like to change places/seats with me - then you can sit next to your friend.                                     
change the baby,幫嬰兒換尿布,To put a new nappy on a baby.,It's your turn to change the baby - there's a packet of nappies upstairs.                                                 
change the beds,換床單,To put clean sheets on the beds.,I'll get some clean sheets and we'll change the beds.                                                                     
change the subject,轉移話題,To start talking about something different.,"Whenever Fiona talks about marriage, Bill changes the subject.                                                            "
change your clothes,換衣服,To put on different clothes.,Do you want to change your clothes before we go out?                                                                      
change your mind,改變心意,To change a decision or opinion.,Harry is planning to study law at university but he may change his mind.                                                  
charter flight,包機,A flight on a plane rented for special use.,We managed to get a charter flight; it was half the price of the scheduled flight.                                        
cheeks burn with embarrassment,羞得臉紅耳赤,To feel very embarrassed.,"If you feel very embarrassed, your cheeks burn with embarrassment.                                                        "
chilly corridor,陰冷的走廊,A corridor that is unpleasantly cold.,"You go into a draughty hall, down a chilly corridor and into this really cramped room.                                    "
chubby cheeks,圓臉頰,"Plump, rounded cheeks, often in an attractive way.","My younger brother is only two, but he's very cute, with chubby cheeks.                                "
claim benefits,申請津貼,To request financial support from the state.,Families who have to claim benefits often feel ashamed.                                         
classic example,經典範例,A very typical example.,The Pantheon in Rome is a classic example of Roman architecture.                                                          
clean forgotten,忘得一乾二淨,(Informal) To have totally forgotten.,I'd clean forgotten about her too.                                                                                        
clear illustration,清楚的說明,A very obvious or easy-to-understand example of something.,This is a clear illustration of the importance of a strong monetary policy.                            
climb the career ladder,職位晉升,To advance in one's career through a series of promotions.,He is very ambitious and is determined to climb the career ladder quickly.                             
close finish,比賽結果接近,When competitors finish a race very close to each other.,Pedro Macarro emerged the winner of today's Spanish Grand Prix in a very close finish.                                    
close friends,摯友,Friends with whom you have a very strong and intimate relationship.,"I'm glad that our children are such close friends, aren't you?                                         "
close team,關係緊密的團隊,A group of people who work well together.,Would you like to be an integral part of a close team?                                                                    
close-knit family,關係親密的家庭,A family where the members have close relationships.,We are a very close-knit family and we see a lot of our distant relatives.                                                
come from a broken home,來自破碎家庭,To be a child of parents who have separated or divorced.,Children whose parents have separated or divorced are said to come from a broken home.                                    
come into force,生效,(Formal) For a law to start to apply.,The new law will come into force next month.                                                                              
come to a compromise,達成妥協,To find an agreement between different positions.,It is hoped that the two sides will come to a compromise.                                                                 
come to a decision,做出決定,To make a decision.,I already said I'm going to weigh up the options and come to a decision.                                                  
come to a standstill,停滯不前,To stop completely.,After the accident the traffic slowed to a crawl and then finally came to a standstill.                                   
come to a total of,總計為,For a set of figures to add up to a specific amount.,"If we add up all the figures, it comes to a total of 794.                                              "
come to terms with,妥協 / 接受現實,To accept a difficult situation.,Nick has found it hard to come to terms with his illness.                                                                 
come up to standard,達到標準,To reach a satisfactory or required level of quality.,"If the product does not come up to standard, you can return it for a full refund.               "
come up with the idea,想出這個主意,To think of a new idea or plan.,We came up with the idea for the summit five years ago.                                         
come within firing range,進入射程範圍,To get close enough to be shot at.,My grandfather has told me how terrified he was the first time he came within firing range of the enemy.                  
commit plagiarism,抄襲,To use another person's work and pretend it is your own.,"If you fail to do this, you will commit plagiarism.                                                                       "
complain of pain,訴說疼痛,To state that you are experiencing pain.,The patient began to complain of pain in her lower back.                                               
complaining bitterly,痛苦地抱怨,"Expressing dissatisfaction or unhappiness in a strong, resentful way.",The other assistants are complaining bitterly that they end up doing her work.                         
comply with the regulations,遵守規定,(Formal) To do what the rules say.,We have to comply with the regulations concerning the testing of equipment.                                               
compose your message,撰寫訊息,To write an email or text message.,"Just hit 'reply', then compose your message, then press 'send'.                                                           "
compulsive reading,引人入勝的讀物,So interesting that you cannot stop reading it.,Many people find articles about the private lives of film stars compulsive reading.                    
conceal/hide your true character,隱藏本性,To prevent others from seeing what one's personality is really like. The opposite of reveal your true character.,He tried to conceal his true character by pretending to be generous.                                   
conduct market research,進行市場調查,To gather information about what consumers want or need. This is the formal equivalent of  do market research .,"Before launching the product, we need to conduct market research.                                      "
confirmed bachelor,堅定的單身漢,A man who seems to have no intention of ever marrying.,A confirmed bachelor is a man who seems to have no intention of ever marrying.                                            
conflict of opinion,意見衝突,A strong disagreement.,A conflict of opinion within the National Olympic Association is threatening to delay the building of a new stadium.      
connecting flight,轉機航班,A second flight taken to reach a final destination.,"The passenger boarded the plane on time, but it was delayed taking off and she missed her connecting flight in Amsterdam. "
consider all the options,考慮所有選項,To think about all the possible choices.,I'm going to consider all the options before I decide.                                                                    
constant interruptions,持續的打擾,Repeatedly being stopped from doing something.,I couldn't get on with my work today because of constant interruptions - the phone kept ringing every five minutes.       
constructive criticism,建設性的批評,Criticism that is useful and intended to help or improve.,He thanked the reviewers for their constructive criticism of his plan.                          
consummate professional,頂尖專家 / 技藝精湛,"A complete professional, often used to describe actors or performers.",Jenni Adams is a consummate professional and carried off the role brilliantly.                  
continuous assessment,持續性評量,A system of judging student performance through coursework rather than a single final exam.,We don't have exams at my school. We have continuous assessment.                                       
contract malaria,感染瘧疾,(Formal) To get a serious disease.,Uncle Jess contracted malaria while he was working in Africa.                                                             
contradictory evidence,相互矛盾的證據,Information or facts that conflict with other information.,Contradictory evidence made it hard for the jury to reach a verdict.                                   
contribute to the debate,促進討論 / 對辯論有貢獻,To add ideas or opinions to a formal discussion.,"Yes, I hope I can contribute to the debate.                                                            "
controversy continues to rage,爭議持續延燒,A public disagreement is still happening with a lot of anger.,Controversy continues to exist/rage over the appointment of the new Director.                                             
convert to Christianity,改信基督教,To change one's religion to Christianity.,Her grandparents converted to Christianity in the last century.                                                           
copy and paste,複製貼上,To duplicate text or data from one location and insert it into another.,Don't just copy and paste it into your essay!                                                          
core message,核心訊息,The single most important idea that a speaker wants to communicate.,Will it communicate your core message?                                                                 
core subjects,核心科目 / 主科,The main subjects that all students on a course must study.,"In the first year, the core subjects were The development of the novel and Contemporary poetry. "
cosy study,溫馨舒適的書房,A comfortable room for working or reading.,"It's got a spacious living room which has a wonderful view of the park, and a cosy study where we can both work.          "
cover every eventuality,考慮到所有可能性 / 防患未然,To prepare for all possible situations and difficulties.,Our emergency plan is designed to cover every eventuality.                                      
crack down on,嚴厲打擊 / 取締,To start dealing with something in a more severe way.,POLICE CRACK DOWN ON SPEEDING                                                                                             
cramped room,狹窄擁擠的房間,A room that is uncomfortably small.,"You go into a draughty hall, down a chilly corridor and into this really cramped room.                                    "
create awareness,建立意識 / 喚起關注,To make people conscious of an issue or problem.,His book helped create awareness of inner-city poverty.                                                                   
create problems,製造問題,To cause difficulties or a situation that needs to be dealt with.,Your presence on the committee is creating problems for all of us.                                     
crime figures,犯罪數據,Statistics about crime.,The crime figures are the worst since 1995.                                                                               
crime wave,犯罪浪潮 (指犯罪率激增),A sudden increase in the number of crimes.,We have all had some experience of the recent crime wave in our cities.                                                   
crisp snow,鬆脆的雪 (踩上去有聲音),Snow that is fresh and hard.,The snow is lovely and crisp this morning.                                                                                
critical acclaim,廣受好評 / 評論家讚賞,Enthusiastic praise from critics.,He has received critical acclaim many times in the past.                                                                  
critical analysis,批判性分析,A detailed study or examination of a topic that assesses its quality.,This essay provides a critical analysis of international trade agreements.                      
crops fail,農作物歉收,For crops not to grow or produce food successfully.,Crops fail year after year in some of the poorest parts of the world.                                  
crowning achievement,最高成就 / 巔峰之作,The greatest achievement of a career or lifetime.,Her crowning achievement was her performance in the 2004 Olympics.                                                        
cut through the red tape,擺脫繁文縟節,To deal quickly and effectively with complex bureaucratic procedures.,A good lawyer can help you cut through the red tape.                                            
cut-throat competition,割喉戰 / 惡性競爭,Very severe and intense competition.,There is cut-throat competition in the music industry these days.                                      
dark days,黑暗的日子 / 艱難時刻,Unpleasant times to live through.,My grandparents lived through the dark days of civil war from 1936 to 1939.                                       
dark thoughts,陰暗的想法,Gloomy or sinister thoughts.,Darkness is associated with unhappiness and negative feelings.                                                    
dazzling production,令人眼花撩亂的製作 / 精彩的演出,An extremely impressive performance of a play.,The actors had managed to put on a simply dazzling production.                                                    
dead easy,超級簡單,A very informal way of saying extremely easy.,"I was worried about the exam, but it turned out to be dead easy.             "
dead keen,非常渴望 / 極感興趣,(Informal) Extremely keen.,She was dead keen to meet the new director.                                                                       
dead tired,累得要死,An informal way of saying extremely tired.,"After working for twelve hours, I feel dead tired.                           "
dead-end job,沒前途的工作,A job with no opportunities for advancement or promotion.,Kika started out in a dead-end job in a jam factory.                                                     
