Phrases,Meaning,English Sentence,Chinese Sentence
at a stretch,連續地,I can work eight hours at a stretch without a break.,我可以連續工作八小時不休息。
at all costs,無論如何,We must finish this project at all costs before the deadline.,我們不惜一切代價必須在期限前完成這個專案。
at any cost,無論如何;不計代價,Dave wanted to save his son at any cost even at the risk of his own life.,Dave想要不惜一切代價挽救兒子，甚至冒著生命危險。
at any rate,無論如何,"The flight was delayed, but we arrived safely at any rate.",班機延誤了，但無論如何我們都安全抵達了。
at large,大致上,The suspect is still at large and should be considered dangerous.,這名嫌犯仍然在逃，應被視為危險人物。
at length,"最終, 詳盡地","At length, he agreed to the proposal.",最後，他同意了這個提議。
at most,至多,Our supply can last seven days at most.,我們的補給最多可以撐7天。
at once,立刻,Please send the documents to me at once.,請立刻把文件寄給我。
at the discretion of,由...裁定,The refund amount is at the discretion of the manager.,退款金額由經理決定。
attribute to,把...歸因於...,She attributes her success to hard work and luck.,她將自己的成功歸功於努力工作和運氣。
back down,退縮；讓步,He refused to back down in the face of opposition.,他拒絕在反對面前退縮。
back out,退出、反悔,"He promised to help, but then backed out at the last minute.",他答應要幫忙，但卻在最後一刻退出/反悔了。
back up,支持、倒退、堵塞,You should always back up your important files regularly.,你應該經常備份你的重要檔案。
bail out,保釋；幫助脫困,The government decided to bail out the struggling bank.,政府決定幫助那家陷入困境的銀行。
balance out (sth),抵銷(某物)；使(某物)相等,The exercise will help balance out the stress.,這項運動有助於平衡壓力。
bank on,依賴；指望,You can bank on him to get the job done.,你可以指望他完成這項工作。
bask in sth,沉浸於,She basked in the praise from her colleagues.,她沐浴在同事們的讚美中。
be about to,正要...,"The meeting is about to start, so please take your seats.",會議即將開始，請大家就座。
be addicted to,沈迷於...,Young people can easily be addicted to playing video games.,年輕人很容易沉迷於玩電動遊戲。
be affiliated with,隸屬於...,The local hospital is affiliated with a major university.,這家當地醫院隸屬於一所主要大學。
be associated with,和...有關聯,The symptoms are associated with a common cold.,這些症狀與普通感冒有關。
be aware of,知道,You should be aware of the risks before investing your money.,在投資你的資金之前，你應該意識到風險。
be based on,根據,This movie is based on a true story from the 1950s.,這部電影是根據一個1950年代的真實故事改編的。
be bound to,一定,"If you study hard, you are bound to pass the exam.",如果你努力學習，你一定會通過考試。
be capable of Ving,能夠,She is capable of finishing the task in half the time.,她有能力在一半的時間內完成這項任務。
be concerned about,擔心,Everyone is concerned about the negative impact of pollution.,每個人都擔心污染的負面影響。
be concerned with,和...有關,The research team is concerned with finding a cure for the disease.,研究團隊致力於尋找疾病的治療方法。
be critical if,對...不滿,The patient's condition will be critical if he doesn't receive immediate treatment.,如果他沒有得到立即治療，病人的情況將很危急。
be deprived of,被剝奪,The prisoners were deprived of their basic rights.,囚犯被剝奪了他們的基本權利。
be eligible for,有資格 、 合適,Only full-time students are eligible for the scholarship.,只有全日制學生才有資格獲得這項獎學金。
be entitled to,有資格 、 合適,Every employee is entitled to three weeks of paid vacation.,每位員工都有權享有三週的帶薪假期。
be familiar with,對...熟悉,"I am familiar with the software, but I'm not an expert.",我對這個軟體很熟悉，但還稱不上專家。
be fond of,喜歡,My grandfather is fond of telling stories about his youth.,我的祖父喜歡講述他年輕時的故事。
be geared to,適合,The training program is geared to the needs of beginners.,這個培訓計畫旨在滿足初學者的需求。
be in favor of,喜歡,I am in favor of protecting the local environment.,我贊成保護當地環境。
be inferior to,比...差,This new model is inferior to the older one in terms of battery life.,這個新型號在電池續航力方面不如舊型號。
be involved in,牽涉、參與,She is involved in several volunteer projects in the community.,她參與了社區中的好幾個志願者專案。
be irrelevant to,與...無關,His personal opinions are irrelevant to the scientific data.,他的個人意見與科學數據無關。
be obliged to V,被迫做...  ,We were obliged to wait in the lobby until the manager arrived.,我們被迫在等候區等待，直到經理到來。
be on track,在朝著目標的路上,We are on track to meet our sales target for the quarter.,我們正依計劃進行，有望達到本季度的銷售目標。
be open to,歡迎、接受,The manager is open to suggestions from the team.,經理樂於接受團隊的建議。
be opposed to Ving,反對 ,Many people are opposed to raising taxes this year.,許多人反對今年提高稅收。
be provided with,提供,Many kids are not provided with proper education.,許多孩子沒有得到適當的教育。
be qualified for,有資格 、 合適,She is qualified for the position thanks to her extensive experience.,由於她豐富的經驗，她有資格勝任這個職位。
be set to,預定做...,The company is set to launch its new product next month.,該公司準備在下個月推出其新產品。
be supposed to,應該,You are supposed to hand in your assignment by Friday.,你應該在週五前繳交你的作業。
be up for,欣然去做...,Are you up for a hike in the mountains this weekend?,你有興趣這個週末去爬山嗎？
be up late,熬夜 ,I was up late last night finishing the presentation.,我昨晚熬夜完成簡報。
bear down on,施壓；向⋯逼近,The storm is bearing down on the coast.,暴風雨正逼近海岸。
bear sth in mind,記住某事,Bear in mind that this is just a temporary solution.,請記住，這只是暫時的解決方案。
bear with,忍受,Please bear with us while we fix the technical issues.,我們在解決技術問題時，請您耐心等待。
bend over,彎腰,Please bend over and touch your toes for the exercise.,請彎下身觸摸你的腳趾來做這個練習。
blow A away,給A留下印象,The concert was fantastic; it completely blew me away.,這場音樂會太棒了，它徹底讓我感到震撼。
blow away,吹走；吹散,The breeze blew away the morning dew.,微風吹散了晨露。
blow off,吹走,The wind blew off Professor Drake’s papers.,風吹走Drake教授的文件。
blow one’s top,大發雷霆,The director blew his top when half of the performers were late for the rehearsal.,一半的表演者排演遲到，導演大發雷霆。
blow out,吹熄；熄滅,Grandfather blew out all seventy candles on his birthday cake.,爺爺吹熄了生日蛋糕上的七十支蠟燭。
blow over,消除；停息,The artist’s troubles finally blew over after all the lawsuits.,在一連串的官司後，這個藝術家的麻煩終於停息了。
blow up,爆發；突然發生；使爆炸,"If the storm blows up, the concert will be canceled.",如果突然發生暴風雨，音樂會就會取消。
boast about,自誇,She likes to boast about her high score on the test.,她喜歡吹噓她在考試中的高分。
boil down to,歸結為,It all boils down to money.,這一切都歸結為錢。
break around,開始,The waves began to break around the coral reef.,海浪開始在珊瑚礁附近沖擊。
break away,掙脫；脫離,The politician declared he had broken away from the party.,這個政治人物宣布他已脫離此政黨。
break down,故障 ,My car broke down on the way to work this morning.,我的車今天早上在上班途中拋錨了。
break in,闖入；插嘴,Someone broke in and stole the TV.,有人闖入偷走了電視。
break into,強行進入,He broke into the house through a window.,他從窗戶闖入房子。
break off,折斷；中斷,The US broke off diplomatic relations with R.O.C in 1978.,美國在1978年與中華民國斷交。
break one’s word,不守諾言,"Gill promised me to quit smoking, but he broke his word.",Gill答應我要戒菸，但他食言了。
break out,爆發；突然發生,Gary volunteered to go into the army when the war broke out.,戰爭爆發時Gary自願從軍。
break through,突破；強行穿過,These protesters attempted to break through police lines.,那些抗議者試圖強行穿過警戒線。
break up,瓦解；解散；（關係）破裂,The tennis club broke up just after a few months.,網球社幾個月後就解散了。
break up with sb.,與某人絕交,He broke up with his best friend because of a misunderstanding.,他因為誤會和最好的朋友絕交了。
break with,與某人斷交,"If he always takes advantage of you, it is correct to break with him.",如果他老是利用妳，和他斷交是正確的。
bring about,引起,The internet has brought about a huge change in communication.,網際網路帶來了通訊上的巨大變化。
bring along,帶來,Don't forget to bring along your ID card for the registration.,別忘了帶上你的身份證進行註冊。
bring back,帶回；恢復,Can you bring back some milk from the store?,你能從商店帶點牛奶回來嗎？
bring down,擊倒；降低,The scandal may bring down the government.,這場醜聞可能會擊垮政府。
bring forth,提出；產生,The latest book of Paul brought forth fantastic ideas.,Paul的新書提出了驚人的概念。
bring forward,提前提出,The meeting has been brought forward to Monday.,會議被提前到週一。
bring in,引進；賺取,The company plans to bring in new technology.,公司計劃引進新技術。
bring on,引起,The stress of the deadline brought on a terrible headache.,截止日期的壓力導致了一場嚴重的頭痛。
bring out,使出現;使顯示,Natural disasters can bring out the worst in people.,自然災害會給人們帶來最嚴重的後果。
bring sb./sth. back,送回某人／某事物,You have to bring the note back to me before the exam.,考試前你必須把筆記送回給我。
bring sth. off,把困難的事做成功,"To apply for admission to Harvard University is a task, but Karl brought it off.",申請進哈佛大學很困難，但是Karl做到了。
bring sth. out,發表；出版；使⋯顯現,The press will bring a new travel magazine out next month.,下個月出版社會發行新的旅遊雜誌。
bring up,撫養；提出,She brought up three children on her own.,她獨自撫養了三個孩子。
build on,建立在..基礎上,Success is built on good daily habits.,成功是建立在良好的日常習慣上。
build up,建立；增強,You need to build up your strength before the competition.,比賽前你需要增強體力。
burn down,燒毀,The old house was burned down last night.,那棟老房子昨晚被燒毀了。
burn out,筋疲力盡；燒壞,"If you work too hard, you might burn out.",如果工作太辛苦，你可能會筋疲力盡。
burst into,突然開始,She burst into tears when she heard the news.,她聽到消息後突然哭了起來。
burst out,突然⋯起來,He burst out laughing at the joke.,他聽到笑話後突然大笑起來。
by all means,當然可以、務必,"""May I use your phone?"" ""Yes, by all means.""",「我可以用一下你的電話嗎？」 「當然可以，務必。」
by and large,大體上，一般而言,"By and large, the project was a success.",總的來說，這個項目是成功的。
by any means,無論如何,We must reach our goal by any means necessary.,我們必須不擇任何手段達成目標。
by chance,,I met an old friend at the airport purely by chance.,我純粹是碰巧在機場遇到一位老朋友。
by means of,藉由,They communicate by means of electronic mail.,他們透過電子郵件進行交流。
by no means,一點也不,"Passing the exam is by no means guaranteed, even if you study.",即使你學習了，通過考試也絕非有保證。
by way of,碰巧、偶然,He first introduced himself by way of a short anecdote.,他先以一個簡短的軼事作為自我介紹。
call at,拜訪（某地）,I will call at your office if I get extra time.,如果我有額外的時間，我會去妳的辦公室。
call back,召回；回（電話）,The legislator called back his previous statement.,這位立法委員收回先前的聲明。
call down,要求；請求；嚴厲斥責,"Laura, the crippled girl, never calls down anybody’s help.",Laura，那個殘障的女孩，從不要求任何人幫忙。
call for,需要,The current economic crisis calls for immediate action.,當前的經濟危機需要立即採取行動。
call forth,喚起；使⋯產生,Difficulties can call forth one’s inner power and potential.,困境會喚起一個人的內在力量與潛力。
call in,延請（醫生、律師等）,The victim called in the police to investigate.,受害者延請警方調查。
call off,取消,The company decided to call off the outdoor event due to rain.,由於下雨，公司決定取消戶外活動。
call on,號召,The president will call on other nations to take action on climate change.,總統將呼籲其他國家對氣候變遷採取行動。
call on,號召；拜訪,The teacher called on her to answer the question.,老師請她回答問題。
call one’s attention,引起注意,The bargain price called my attention right away.,特價立刻引起我的注意。
call out,大聲喊叫,Wesley irritated the teacher by calling out the answer without permission.,Wesley 未經允許就大喊答案激怒了老師。
call up,打電話；召集,Sabrina’s calling up made him on top of the world.,Sabrina 的來電使他欣喜若狂。
calm down,冷靜,Please calm down and tell me what happened.,請冷靜下來，告訴我發生了什麼事。
care for,照顧；喜歡,She cares for her elderly parents.,她照顧年邁的父母。
carry away,使…忘形;使(興奮得)失去控制,He always reminds himself not to be carried away by success.,他總是提醒自己不要因成功而得意忘形。
carry off,贏得；奪走,She carried off the first prize in the competition.,她贏得了比賽的第一名。
carry on,繼續,Please carry on with your work while I take this call.,我接電話時，請你們繼續你們的工作。
carry out,執行,We need to carry out a detailed survey before making a decision.,在做出決定之前，我們需要執行/進行一次詳細的調查。
carry through,完成；實現,His determination carried him through the tough times.,他的決心讓他度過了艱難的時期。
carry weight,有影響力；有份量,His opinion carries a lot of weight in the community.,他的意見在社區中很有份量。
carve out,獲得,He managed to carve out a successful career in the competitive industry.,他成功地在這個競爭激烈的行業中開創了一番事業。
catch on,變得流行；理解,This new fashion is starting to catch on among teenagers.,這種新時尚正開始在青少年中流行起來。
catch one’s breath,喘口氣；屏住呼吸,"After running for ten minutes, he stopped to catch his breath.",跑了十分鐘後，他停下來喘口氣。
catch one’s eye,引起某人注意,The bright colors of the painting caught my eye.,這幅畫的鮮豔色彩引起了我的注意。
catch sight of,瞥見；看到,I caught sight of an eagle soaring high above.,我瞥見一隻老鷹在高空翱翔。
catch up,趕上,I need to study hard to catch up with the rest of the class.,我需要努力學習才能趕上班上其他同學。
catch up,趕上；追上,You go ahead; I’ll catch up with you later.,你先走，我待會追上你。
caution against,告誡、提醒,The police cautioned against traveling alone at night.,警方告誡不要在夜間獨自旅行。
check in,登記入住,We need to check in at the hotel by 3 PM.,我們需要在下午3點前辦理酒店入住手續。
check out,結帳；檢查,Don't forget to check out before you leave.,離開前不要忘記結帳。
check up on,督促,The teacher promised to check up on the student's progress.,老師承諾會檢查學生的進度。
cheer up,使高興；振作,Let's cheer up and enjoy the party.,讓我們振作起來享受派對吧。
clean up,打掃,We need to clean up the room before the guests arrive.,在客人到來之前，我們需要打掃房間。
clean up after,解決…製造的問題,You are an adult. You should learn to clean up after yourself.,你是個大人。 您應該學會解決自己製造的問題。
clear up,清理；解決,We need to clear up the misunderstanding.,我們需要解決誤會。
close down,關閉；倒閉,The store will close down at the end of the month.,這家店將在月底關閉。
coincide with,和...同時發生,Her birthday often coincides with the national holiday.,她的生日經常與國定假日重合。
come about,發生,The witness is describing how the murder came about.,目擊證人正在描述凶殺案是怎麼發生的。
come across,偶然發現 ,I came across a fascinating article while browsing the web.,我在瀏覽網頁時偶然發現一篇引人入勝的文章。
come after,窮追不捨;追趕,Jack will be coming after me if I don't return the money next week.,如果我下週不還錢，傑克就會來找我算帳。
come along,發展、進行、跟隨,We are planning a trip to the beach; would you like to come along?,我們正在計劃去海灘旅行，你願意一起去嗎？
come apart,破碎,The old book was so fragile that it started to come apart.,這本舊書非常脆弱，開始散開/解體了。
come around,讓步、改變立場,"He fainted, but soon came around after a few minutes.",他暈倒了，但在幾分鐘後很快就甦醒了。
come back,回來,When will you come back from your trip?,你什麼時候從旅行中回來？
come by,經過；得到,I wonder how he came by such a luxurious house.,我很想知道他是如何得到這麼豪華的房子。
come down,下降；流傳,The price of oil has come down recently.,最近油價下降了。
come down on/upon,斥責,He never comes down on his children except (that) they bring shame on their family.,他從不斥責他的孩子，除非他們讓家族蒙羞。
come down with,罹患,I think I'm starting to come down with the flu.,我想我開始患上流感了。
come forth,出現,"Despite all the recommendation, nothing special came forth in this concert.",儘管受到推薦，但這場音樂會並無特別之處。
come forward,自告奮勇；站出來,Several witnesses came forward with information.,幾位目擊者站出來提供信息。
come in,進來,Please come in and have a seat.,請進來坐。
come in for,遭受（譴責）,The policy came in for a great deal of criticism.,這個政策遭受許多批評。
come into,繼承；得到,She came into a large fortune when her aunt passed away.,她在姑姑去世後繼承了一大筆財產。
come into effect,生效,The new traffic regulations will come into effect next month.,新的交通法規將於下個月開始生效。
come off,掉落；脫落,The white paint on the wall has come off with time passing.,隨著時光流逝，牆上白色的油漆已脫落。
come off sth,停用（毒品、酒精等）,The paint is coming off the wall.,牆上的油漆正在脫落。
come on,開始；快點,"Come on, we are going to be late.",快點，我們要遲到了。
come out,出現；（花）開；發（芽）,The scene of all the roses coming out in the garden is spectacular.,花園裡所有玫瑰盛開的畫面很壯觀。
come over,突然感到...,Why don't you come over to my place for dinner tonight?,你今晚何不過來我家吃晚餐呢？
come to,總計；甦醒,The bill comes to $50.,賬單總計50美元。
come to an end,結束；停止；用盡,The semester will come to an end next week.,學期將在下週結束。
come up,發生；出現,Something urgent has come up.,有緊急的事發生了。
come up with,提出,We need to come up with a better strategy for the next quarter.,我們需要想出一個更好的下季度戰略。
compatible with,和...相容,This printer is compatible with most operating systems.,這台印表機與大多數作業系統相容。
compete for,競爭,Ten teams will compete for one spot to advance to the Koshien.,十支球隊將爭奪一個進入甲子園的名額。
complete with,包含,"The room was furnished, complete with a desk and a chair.",這個房間配有家具，連同一張書桌和一把椅子在內。
contend with,對付,The firefighters had to contend with strong winds during the blaze.,消防員在火災期間必須應付強風。
contrary to,與…相反,Contrary to the popular belief the author believes that vulnerability is actually a strength.,與主流的看法相反，作者認為脆弱實際上是一種力量。
cool off,使涼快；冷靜下來,Let's go inside and cool off.,讓我們進去冷靜一下。
cope with,處理,Jack found it difficult to cope with two babies at the same time.,Jack發現同時應付兩個嬰兒很困難。
correspond with,相稱,My actions must correspond with my words.,我的行為必須與我的言語一致。
count on,依靠,You can count on me to help you move this weekend.,你可以指望我這個週末幫你搬家。
cover letter,求職信,Please attach a cover letter along with your resume.,請在您的履歷表上附上求職信。
cover up,掩蓋；遮蓋,He tried to cover up his mistakes.,他試圖掩蓋他的錯誤。
cross one’s leg,翹腳,She sat down and elegantly crossed her legs.,她坐下來，優雅地翹著二郎腿。
cross out,劃掉,Please cross out the wrong words.,請劃掉錯誤的單詞。
culminate in,以...告終,Months of planning will culminate in a grand concert next week.,數月的策劃將在下週以一場盛大的音樂會告終。
curve ball,騙局、意料之外,The interviewer suddenly threw me a curve ball question.,面試官突然向我提出了一個出乎意料的問題。
cut back,削減、減少,We need to cut back on our spending to save money.,我們需要減少開支以省錢。
cut down,砍伐；減少,The company plans to cut down on its carbon emissions.,公司計劃減少碳排放。
cut in,插嘴,The driver abruptly cut in ahead of the other cars.,那位司機突然插隊/切入到其他車輛前面。
cut into,切入、侵入,Don't let your personal life cut into your work time.,不要讓你的私人生活侵佔/縮短你的工作時間。
cut off,切斷；中斷,The village was cut off by the heavy snow.,這個村莊被大雪隔絕了。
cut out,切除；停止,The doctor advised him to cut out fatty foods.,醫生建議他停止食用高脂食物。
cut through,穿過；迅速理解,We cut through the park to save time.,我們穿過公園以節省時間。
cut to the chase,開門見山,Stop wasting time and just cut to the chase.,別浪費時間了，直接切入正題吧。
cutting-edge,先進的,They use cutting-edge technology to design their products.,他們使用尖端技術來設計他們的產品。
deal with,處理;對付,We need to deal with this issue before it gets worse.,我們需要在問題惡化之前處理它。
defer to sb/sth,"聽從,遵從,服從",I defer to my manager’s decision on this matter.,在這個問題上，我聽從經理的決定。
deprive of,剝奪  ,"Misspelled, corrected to deprive of",拼寫錯誤，已更正為 deprive of
deprive sb/sth of sth,從...剝奪某物,The new law will deprive many people of their right to vote.,新法律將剝奪許多人投票的權利。
die down,逐漸平息，漸漸減弱,The noise died down after a few minutes.,幾分鐘後噪音平息了。
dispute over,爭論,The two companies are in a dispute over the patent rights.,這兩家公司正在爭論專利權的歸屬。
divided into,把...分開,The book is divided into three main sections.,這本書被劃分為三個主要部分。
do away with,廢除；取消,The government plans to do away with the old regulations.,政府計劃廢除舊法規。
do one’s utmost,盡全力,We promised to do our utmost to complete the task successfully.,我們承諾盡力成功完成任務。
do up,整理；修繕,They are doing up their old house.,他們正在修繕他們的老房子。
do without,不用；設法應付,We can’t do without a car in this city.,在這個城市我們不能沒有車。
dotted line,虛線,Please sign your name on the dotted line at the bottom of the page.,請在頁面底部的虛線上簽名。
doze off,打瞌睡；打盹,He dozed off during the meeting.,他在會議期間打瞌睡了。
draw back,退後；撤退,She drew back in fear when she saw the snake.,她看到蛇時嚇得退後。
draw near,接近,"As the deadline drew near, the team worked late every night.",隨著截止日期臨近，團隊每晚都工作到很晚。
draw on,利用、依靠,She had to draw on all her experience to solve the problem.,她必須利用她所有的經驗來解決這個問題。
draw up,制定,The lawyers will draw up the contract and send it over.,律師們將會草擬合約並發送過來。
dress up,盛裝打扮,They dressed up for the party.,他們為了派對盛裝打扮。
drink to,為⋯乾杯,Let’s drink to their happiness.,讓我們為他們的幸福乾杯。
drive at,意指,What are you driving at with this question?,你問這個問題的用意是什麼？
drop by,順道拜訪 ,I'll drop by the office later to pick up the documents.,我稍後會順道去辦公室拿文件。
drop in,看望,Feel free to drop in for a cup of coffee anytime.,隨時都可以順道拜訪喝杯咖啡。
drop out,輟學；退出,He dropped out of college to start his own business.,他輟學創辦自己的公司。
drum up,召集；激起,They are trying to drum up support for the new policy.,他們試圖為新政策召集支持。
due to,因為,The match was cancelled due to the rain.,比賽由於下雨而取消。
dust off,"溫習,復習",She dusted off her old recipes and started cooking again.,她拿出了她的老食譜，開始重新做飯。
emerged as,出現,The young candidate emerged as the clear winner of the debate.,這位年輕的候選人成為辯論的明顯勝利者。
engage in,從事,They engage in heated debates about politics every weekend.,他們每週末都參與關於政治的激烈辯論。
entrust with,委託...處理,I was entrusted with the secret information by the manager.,經理委託我處理這些機密資訊。
every so often,偶爾，有時候,"Every so often, I like to go hiking.",我偶爾喜歡去遠足。
excel in,擅長,She doesn't just pass; she truly excels in mathematics.,她不只是及格，她在數學方面真正表現出色。
except for,除了…以外,This place is quite cozy except for the smell.,除了氣味之外，這個地方很舒適。
exchange rate,匯率,The exchange rate between the dollar and the euro fluctuates daily.,美元和歐元之間的匯率每天都在波動。
excuse from,允許離開,The doctor excused her from physical education class due to an injury.,醫生因為受傷准許她免於體育課。
exert oneself,竭力，盡力,He exerted himself to lift the heavy box.,他使出全力搬起那個沉重的箱子。
factor in,考慮,We must factor in the unexpected delays when setting the schedule.,設定時間表時，我們必須把意外延遲考慮進去。
fall apart,破裂；崩潰,The old book fell apart in my hands.,這本老書在我手中破裂了。
fall behind,無法配合、跟不上,"If you miss too many classes, you will fall behind in your studies.",如果你錯過太多課程，你的學業就會落後。
fall for,愛上；上當,She fell for his charming smile.,她愛上了他迷人的笑容。
fall off,減少；下降,Sales have fallen off recently.,最近銷售額下降了。
fall out,吵架；掉落,They had a big fall out over money.,他們因為錢吵了一架。
fall through,落空；失敗,Our plans fell through at the last minute.,我們的計劃在最後一刻落空了。
fall under,屬於...的範圍,This type of crime falls under the jurisdiction of the federal court.,這類犯罪屬於聯邦法院的管轄範圍。
fall within,屬於...的範圍,This expense falls within the guidelines set by the budget.,這筆開支屬於預算設定的指導範圍內。
far from,遠離;遠遠不,We finished the project on time but the boss was far from satisfied.,我們按時完成了項目，但老闆並不滿意。
figure out,弄清楚;理解,It took me a while to figure out what he was trying to say.,我花了一段時間才弄清楚他在說什麼。
fill in,填寫、代班,Can you fill in this application form for the membership?,你能填寫這份會員申請表嗎？
fill in on,提供詳情給...,I missed the meeting; can you fill me in on what was discussed?,我錯過了會議；你能向我提供/告知討論的內容嗎？
fill out,填寫（表格等）,You need to fill out this application form.,你需要填寫這張申請表。
fill up,填滿；充滿,She filled up the tank with gas.,她把油箱加滿了油。
find out,發現；查明,I need to find out who did this.,我需要查明是誰幹的。
fit in,適應；融入,She tries to fit in with her new classmates.,她努力適應新同學。
fix sb with a (...) look,(以...的眼神)盯著某人看,She fixed him with a stern look.,她用嚴厲的目光注視著他。
fix up,修理；安排,They fixed up the old house.,他們修理了那棟老房子。
for the sake of,為了...的緣故,She did it for the sake of her family.,她這麼做是為了她的家人。
free of,免除;擺脫,The article is free of grammar errors after a few revisions.,這篇文章在經過幾次修改後已沒有文法錯誤。
furnish with,向...提供,The landlord agreed to furnish the apartment with new appliances.,房東同意為公寓提供新的電器。
gather up,收拾,He needed to gather up his courage before asking her out.,他需要鼓起勇氣才能約她出去。
gaze into,凝視,"The couple sat by the fire, gazing into each other's eyes.",這對情侶坐在爐火旁，凝視著彼此的眼睛。
gear up for,為...做準備,We are gearing up for the biggest sale of the year next month.,我們正在為下個月一年中最大的特賣會做準備。
get across,使⋯被理解,It's hard to get your point across.,很難讓人理解你的觀點。
get ahead,取得進展；成功,He works hard to get ahead in his career.,他努力工作以在職業上取得進展。
get along,相處融洽；進展,They seem to get along well.,他們似乎相處得很好。
get along with,與…相處融洽,Do you get along with your coworkers?,你和你的同事相處融洽嗎？
get around,到處走動；避開,She gets around with the help of a walker.,她靠助行器到處走動。
get away,逃脫；離開,We need to get away for a few days.,我們需要出去幾天。
get away with,做（錯事）而未被懲罰,The man got away with the robbery and fled to Mexico.,該名男子搶劫後逃往墨西哥。
get back,回來；取回,I hope to get back to work soon.,我希望能很快回來工作。
get back to,接著做...、回電,"I'm busy right now, but I will get back to you after lunch.",我現在很忙，但我午飯後會回覆你。
get done,結束;完成,The report has to get done by the deadline.,該報告必須在截止日期之前完成。
get down,下來；寫下；使沮喪,He got down the main points of the lecture.,他記下了講座的主要內容。
get in,進入；到達；收穫,What time did you get in last night?,你昨晚幾點到的？
get in the way of,妨礙、介入,Don't let minor issues get in the way of achieving your main goal.,不要讓小問題妨礙你達成主要目標。
get into,加入、參與、對...感興趣,I'm trying to get into the habit of waking up earlier.,我正試圖養成早點起床的習慣。
get lost,滾開,I won’t buy anything from you so get lost!,我不會向你購買任何東西，所以滾開！
get off,離開,We should get off by 8:00 so that we can catch our flight home.,我們應該在8點之前離開，這樣我們才能趕上回家的班機。
get on,上車；進展；相處融洽,How are you getting on with your work?,你的工作進展如何？
get out,出去；離開；洩露,We need to get out of here immediately.,我們需要馬上離開這裡。
get out of one’s way,努力、費心,"If you can't help, at least get out of my way.",如果你不能幫忙，至少別擋我的路。
get over,克服,It took her a long time to get over the disappointment of losing.,她花了好長一段時間才從失敗的失望中恢復過來。
get rid of,擺脫、丟掉,It's time to get rid of all these old clothes we never wear.,是時候擺脫所有這些我們從不穿的舊衣服了。
get word,收到通知,We got word that the shipment has finally arrived.,我們得到消息說貨物終於到了。
give away,贈送、洩漏,The store decided to give away free samples to attract customers.,商店決定贈送免費樣品來吸引顧客。
give in,屈服；讓步,"After hours of argument, he finally gave in.",爭論了幾個小時後，他終於讓步了。
give off,發出；釋放,The flowers give off a wonderful scent.,這些花散發出美妙的香味。
give out,分發；用完,They were giving out free samples at the store.,他們在商店裡分發免費樣品。
give out sth,分發某物，分送某物,They gave out free samples at the event.,他們在活動上發放免費樣品。
